Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
0015,Adams Central Community Schools,95,90,94.7%,87,91.6%
0025,North Adams Community Schools,162,149,92.0%,144,88.9%
0035,South Adams Schools,88,83,94.3%,78,88.6%
0125,M S D Southwest Allen County Schls,564,535,94.9%,524,92.9%
0225,Northwest Allen County Schools,516,497,96.3%,495,95.9%
0235,Fort Wayne Community Schools,1929,1674,86.8%,1468,76.1%
0255,East Allen County Schools,746,663,88.9%,603,80.8%
0365,Bartholomew Con School Corp,877,802,91.4%,731,83.4%
0370,Flat Rock-Hawcreek School Corp,59,55,93.2%,50,84.7%
0395,Benton Community School Corp,133,123,92.5%,116,87.2%
0515,Blackford County Schools,125,118,94.4%,109,87.2%
0615,Western Boone Co Com Sch Dist,130,128,98.5%,125,96.2%
0630,Zionsville Community Schools,419,411,98.1%,407,97.1%
0665,Lebanon Community School Corp,220,209,95.0%,198,90.0%
0670,Brown County School Corporation,142,128,90.1%,125,88.0%
0750,Carroll Consolidated Sch Corp,86,79,91.9%,77,89.5%
0755,Delphi Community School Corp,110,105,95.5%,91,82.7%
0775,Pioneer Regional School Corp,54,45,83.3%,43,79.6%
0815,Southeastern School Corp,109,102,93.6%,101,92.7%
0875,Logansport Community Sch Corp,273,256,93.8%,235,86.1%
0940,West Clark Community Schools,356,329,92.4%,305,85.7%
1000,Clarksville Com School Corp,80,76,95.0%,71,88.8%
1010,Greater Clark County Schools,720,666,92.5%,603,83.8%
1125,Clay Community Schools,292,272,93.2%,264,90.4%
1150,Clinton Central School Corp,90,86,95.6%,79,87.8%
1160,Clinton Prairie School Corp,57,52,91.2%,52,91.2%
1170,Community Schools of Frankfort,193,173,89.6%,148,76.7%
1180,Rossville Con School District,76,71,93.4%,69,90.8%
1300,Crawford Co Com School Corp,120,110,91.7%,106,88.3%
1315,Barr-Reeve Com Schools Inc,54,54,100.0%,54,100.0%
1375,North Daviess Com Schools,67,65,97.0%,62,92.5%
