Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
1405,Washington Com Schools,158,155,98.1%,141,89.2%
1560,Sunman-Dearborn Com Sch Corp,300,282,94.0%,272,90.7%
1600,South Dearborn Com School Corp,204,184,90.2%,171,83.8%
1620,Lawrenceburg Com School Corp,138,136,98.6%,130,94.2%
1655,Decatur County Com Schools,152,140,92.1%,122,80.3%
1730,Greensburg Community Schools,146,137,93.8%,120,82.2%
1805,DeKalb Co Eastern Com Sch Dist,127,116,91.3%,103,81.1%
1820,Garrett-Keyser-Butler Com,147,132,89.8%,127,86.4%
1835,DeKalb Co Ctl United Sch Dist,323,295,91.3%,277,85.8%
1875,Delaware Community School Corp,187,181,96.8%,172,92.0%
1885,Wes-Del Community Schools,67,63,94.0%,62,92.5%
1895,Liberty-Perry Com School Corp,84,80,95.2%,79,94.0%
1900,Cowan Community School Corp,58,58,100.0%,54,93.1%
1910,Yorktown Community Schools,195,189,96.9%,186,95.4%
1940,Daleville Community Schools,47,45,95.7%,45,95.7%
1970,Muncie Community Schools,318,279,87.7%,255,80.2%
2040,Northeast Dubois Co Sch Corp,75,73,97.3%,71,94.7%
2100,Southeast Dubois Co Sch Corp,95,92,96.8%,88,92.6%
2110,Southwest Dubois Co Sch Corp,137,123,89.8%,114,83.2%
2120,Greater Jasper Con Schs,240,232,96.7%,228,95.0%
2155,Fairfield Community Schools,127,117,92.1%,111,87.4%
2260,Baugo Community Schools,141,135,95.7%,124,87.9%
2270,Concord Community Schools,373,331,88.7%,307,82.3%
2275,Middlebury Community Schools,305,278,91.1%,271,88.9%
2285,Wa-Nee Community Schools,201,181,90.0%,171,85.1%
2305,Elkhart Community Schools,762,671,88.1%,609,79.9%
2315,Goshen Community Schools,459,393,85.6%,368,80.2%
2395,Fayette County School Corp,247,229,92.7%,222,89.9%
2400,New Albany-Floyd Co Con Sch,887,826,93.1%,724,81.6%
2435,Attica Consolidated School Corp,68,67,98.5%,64,94.1%
2440,Covington Community Sch Corp,71,67,94.4%,62,87.3%
2455,Southeast Fountain School Corp,92,85,92.4%,74,80.4%
2475,Franklin County Com Sch Corp,200,187,93.5%,173,86.5%
2645,Rochester Community Sch Corp,121,116,95.9%,109,90.1%
2650,Caston School Corporation,83,76,91.6%,71,85.5%
2725,East Gibson School Corporation,70,54,77.1%,49,70.0%
2735,North Gibson School Corp,121,114,94.2%,106,87.6%
2765,South Gibson School Corp,161,150,93.2%,145,90.1%
2815,Eastbrook Community Sch Corp,135,124,91.9%,114,84.4%
2825,Madison-Grant United Sch Corp,94,91,96.8%,85,90.4%
2855,Mississinewa Community School Corp,173,169,97.7%,152,87.9%
2865,Marion Community Schools,263,252,95.8%,213,81.0%
2920,Bloomfield School District,58,55,94.8%,55,94.8%
2940,Eastern Greene Schools,91,87,95.6%,83,91.2%
2950,Linton-Stockton School Corp,77,74,96.1%,74,96.1%
2960,M S D Shakamak Schools,60,57,95.0%,55,91.7%
2980,White River Valley Sch Dist,63,57,90.5%,53,84.1%
3005,Hamilton Southeastern Schools,1333,1269,95.2%,1241,93.1%
3025,Hamilton Heights School Corp,166,157,94.6%,153,92.2%
3030,Westfield-Washington Schools,434,426,98.2%,420,96.8%
3055,Sheridan Community Schools,85,83,97.6%,76,89.4%
3060,Carmel Clay Schools,1161,1125,96.9%,1111,95.7%
3070,Noblesville Schools,632,596,94.3%,572,90.5%
3115,Southern Hancock Co Com Sch Corp,250,243,97.2%,241,96.4%
3125,Greenfield-Central Com Schools,356,314,88.2%,301,84.6%
3135,Mt Vernon Community Sch Corp,258,245,95.0%,237,91.9%
3145,Eastern Hancock Co Com Sch Corp,92,88,95.7%,87,94.6%
3160,Lanesville Community School Corp,48,48,100.0%,48,100.0%
3180,North Harrison Com School Corp,160,153,95.6%,145,90.6%
3190,South Harrison Com Schools,219,207,94.5%,192,87.7%
3295,North West Hendricks Schools,147,142,96.6%,137,93.2%
3305,Brownsburg Community Sch Corp,581,565,97.2%,551,94.8%
3315,Avon Community School Corp,699,680,97.3%,644,92.1%
3325,Danville Community School Corp,201,191,95.0%,189,94.0%
3330,Plainfield Community Sch Corp,366,356,97.3%,355,97.0%
3335,Mill Creek Community Sch Corp,106,105,99.1%,104,98.1%
3405,Blue River Valley Schools,47,46,97.9%,41,87.2%
3415,South Henry School Corp,67,66,98.5%,62,92.5%
3435,Shenandoah School Corporation,100,86,86.0%,84,84.0%
3445,New Castle Community Sch Corp,259,239,92.3%,208,80.3%
3455,C A Beard Memorial School Corp,89,84,94.4%,77,86.5%
3460,Taylor Community School Corp,106,88,83.0%,85,80.2%
3470,Northwestern School Corp,145,143,98.6%,142,97.9%
3480,Eastern Howard School Corporation,114,104,91.2%,102,89.5%
3490,Western School Corp,185,179,96.8%,170,91.9%
3500,Kokomo School Corporation,451,365,80.9%,319,70.7%
3625,Huntington Co Com Sch Corp,399,360,90.2%,348,87.2%
3640,Medora Community School Corp,21,20,95.2%,16,76.2%
3675,Seymour Community Schools,307,292,95.1%,258,84.0%
3695,Brownstown Cnt Com Sch Corp,136,131,96.3%,128,94.1%
3710,Crothersville Community Schools,25,21,84.0%,21,84.0%
3785,Kankakee Valley School Corp,254,228,89.8%,216,85.0%
3815,Rensselaer Central School Corp,131,119,90.8%,111,84.7%
3945,Jay School Corp,240,230,95.8%,207,86.3%
3995,Madison Consolidated Schools,264,238,90.2%,217,82.2%
4000,Southwestern-Jefferson Co Con,93,77,82.8%,71,76.3%
4015,Jennings County School Corporation,324,289,89.2%,243,75.0%
4145,Clark-Pleasant Com School Corp,376,337,89.6%,317,84.3%
4205,Center Grove Com Sch Corp,597,552,92.5%,534,89.4%
4215,Edinburgh Community Sch Corp,64,58,90.6%,57,89.1%
4225,Franklin Community School Corp,394,367,93.1%,340,86.3%
4245,Greenwood Community Sch Corp,242,223,92.1%,220,90.9%
4255,Nineveh-Hensley-Jackson United,150,141,94.0%,131,87.3%
4315,North Knox School Corp,101,100,99.0%,91,90.1%
4325,South Knox School Corp,82,80,97.6%,79,96.3%
4335,Vincennes Community Sch Corp,194,186,95.9%,164,84.5%
4345,Wawasee Community School Corp,222,199,89.6%,192,86.5%
4415,Warsaw Community Schools,522,477,91.4%,441,84.5%
4445,Tippecanoe Valley School Corp,156,144,92.3%,136,87.2%
4455,Whitko Community School Corp,145,134,92.4%,129,89.0%
4515,Prairie Heights Com Sch Corp,124,115,92.7%,113,91.1%
4525,Westview School Corporation,87,81,93.1%,78,89.7%
4535,Lakeland School Corporation,159,146,91.8%,134,84.3%
4580,Hanover Community School Corp,162,156,96.3%,152,93.8%
4590,River Forest Community Sch Corp,76,61,80.3%,56,73.7%
4600,Merrillville Community School,562,501,89.1%,471,83.8%
4615,Lake Central School Corp,765,729,95.3%,708,92.5%
4645,Tri-Creek School Corporation,305,303,99.3%,288,94.4%
4650,Lake Ridge New Tech Schools,174,152,87.4%,115,66.1%
4660,Crown Point Community Sch Corp,630,610,96.8%,580,92.1%
4670,School City of East Chicago,225,158,70.2%,144,64.0%
4680,Lake Station Community Schools,102,89,87.3%,84,82.4%
4690,Gary Community School Corp,364,299,82.1%,268,73.6%
4700,Griffith Public Schools,205,186,90.7%,169,82.4%
4710,School City of Hammond,908,739,81.4%,659,72.6%
4720,School Town of Highland,293,280,95.6%,271,92.5%
4730,School City of Hobart,284,262,92.3%,224,78.9%
4740,School Town of Munster,396,382,96.5%,377,95.2%
4760,School City of Whiting,95,85,89.5%,84,88.4%
4805,New Prairie United School Corp,232,217,93.5%,207,89.2%
4860,M S D of New Durham Township,73,63,86.3%,57,78.1%
4915,Tri-Township Cons School Corp,26,25,96.2%,24,92.3%
4925,Michigan City Area Schools,371,333,89.8%,295,79.5%
4940,South Central Com School Corp,87,82,94.3%,80,92.0%
4945,LaPorte Community School Corp,479,418,87.3%,359,74.9%
5075,North Lawrence Com Schools,358,313,87.4%,302,84.4%
5085,Mitchell Community Schools,134,119,88.8%,107,79.9%
5245,Frankton-Lapel Community Schs,224,213,95.1%,203,90.6%
5255,South Madison Com Sch Corp,339,305,90.0%,290,85.5%
5265,Alexandria Community School Corp,112,98,87.5%,97,86.6%
5275,Anderson Community School Corp,394,353,89.6%,277,70.3%
5280,Elwood Community School Corp,90,77,85.6%,67,74.4%
5300,M S D Decatur Township,462,404,87.4%,366,79.2%
5310,Franklin Township Com Sch Corp,543,527,97.1%,503,92.6%
5330,M S D Lawrence Township,1098,990,90.2%,868,79.1%
5340,Perry Township Schools,1026,947,92.3%,780,76.0%
5350,M S D Pike Township,704,662,94.0%,609,86.5%
5360,M S D Warren Township,849,766,90.2%,689,81.2%
5370,M S D Washington Township,835,713,85.4%,652,78.1%
5375,M S D Wayne Township,1081,926,85.7%,803,74.3%
5380,Beech Grove City Schools,194,174,89.7%,166,85.6%
5385,Indianapolis Public Schools,1102,794,72.1%,719,65.2%
5400,School Town of Speedway,113,112,99.1%,103,91.2%
5455,Culver Community Schools Corp,62,55,88.7%,54,87.1%
5470,Argos Community Schools,46,34,73.9%,34,73.9%
5480,Bremen Public Schools,130,119,91.5%,118,90.8%
5485,Plymouth Community School Corp,283,257,90.8%,245,86.6%
5495,Triton School Corporation,81,73,90.1%,72,88.9%
5520,Shoals Community School Corp,44,39,88.6%,37,84.1%
5525,Loogootee Community Sch Corp,81,77,95.1%,69,85.2%
5615,Maconaquah School Corp,135,120,88.9%,108,80.0%
5620,North Miami Community Schools,83,70,84.3%,68,81.9%
5625,Oak Hill United School Corp,108,103,95.4%,103,95.4%
5635,Peru Community Schools,141,137,97.2%,122,86.5%
5705,Richland-Bean Blossom C S C,194,182,93.8%,176,90.7%
5740,Monroe County Com Sch Corp,796,756,95.0%,712,89.4%
5835,North Montgomery Com Sch Corp,147,146,99.3%,136,92.5%
5845,South Montgomery Com Sch Corp,117,114,97.4%,109,93.2%
5855,Crawfordsville Com Schools,151,146,96.7%,125,82.8%
5900,Monroe-Gregg School District,103,85,82.5%,79,76.7%
5910,Eminence Community School Corp,38,36,94.7%,34,89.5%
5925,M S D Martinsville Schools,350,314,89.7%,297,84.9%
5930,Mooresville Con School Corp,282,274,97.2%,250,88.7%
5945,North Newton School Corp,117,109,93.2%,106,90.6%
5995,South Newton School Corp,59,53,89.8%,52,88.1%
6055,Central Noble Com School Corp,109,96,88.1%,78,71.6%
6060,East Noble School Corp,269,244,90.7%,214,79.6%
6065,West Noble School Corporation,172,149,86.6%,141,82.0%
6080,Rising Sun-Ohio Co Com,64,61,95.3%,49,76.6%
6145,Orleans Community Schools,62,60,96.8%,60,96.8%
6155,Paoli Community School Corp,126,96,76.2%,86,68.3%
6160,Springs Valley Com School Corp,77,67,87.0%,64,83.1%
6195,Spencer-Owen Community Schools,173,161,93.1%,148,85.5%
6260,Southwest Parke Com Sch Corp,79,67,84.8%,65,82.3%
6325,Perry Central Com Schools Corp,83,82,98.8%,76,91.6%
6340,Cannelton City Schools,17,9,52.9%,7,41.2%
6350,Tell City-Troy Twp School Corp,100,97,97.0%,92,92.0%
6375,North Central Parke Comm Schl Corp,95,82,86.3%,77,81.1%
6445,Pike County School Corp,127,118,92.9%,111,87.4%
6460,M S D Boone Township,80,77,96.3%,76,95.0%
6470,Duneland School Corporation,461,435,94.4%,411,89.2%
6510,East Porter County School Corp,169,163,96.4%,159,94.1%
6520,Porter Township School Corp,117,113,96.6%,113,96.6%
6530,Union Township School Corp,129,122,94.6%,117,90.7%
6550,Portage Township Schools,602,529,87.9%,501,83.2%
6560,Valparaiso Community Schools,537,519,96.6%,508,94.6%
6590,M S D Mount Vernon,180,163,90.6%,144,80.0%
6600,M S D North Posey Co Schools,112,109,97.3%,108,96.4%
6620,Eastern Pulaski Com Sch Corp,92,89,96.7%,83,90.2%
6630,West Central School Corp,68,62,91.2%,58,85.3%
6705,South Putnam Community Schools,91,90,98.9%,85,93.4%
6715,North Putnam Community Schools,121,110,90.9%,107,88.4%
6750,Cloverdale Community Schools,80,73,91.3%,71,88.8%
6755,Greencastle Community Sch Corp,143,127,88.8%,117,81.8%
6795,Union School Corporation,38,35,92.1%,27,71.1%
6805,Randolph Southern School Corp,45,43,95.6%,40,88.9%
6820,Monroe Central School Corp,80,80,100.0%,76,95.0%
6825,Randolph Central School Corp,108,95,88.0%,87,80.6%
6835,Randolph Eastern School Corp,61,58,95.1%,52,85.2%
6865,South Ripley Com Sch Corp,100,85,85.0%,80,80.0%
6895,Batesville Community School Corp,173,169,97.7%,165,95.4%
6900,Jac-Cen-Del Community Sch Corp,67,52,77.6%,52,77.6%
6910,Milan Community Schools,105,99,94.3%,88,83.8%
6995,Rush County Schools,173,164,94.8%,155,89.6%
7150,John Glenn School Corporation,156,147,94.2%,145,92.9%
7175,Penn-Harris-Madison Sch Corp,823,804,97.7%,761,92.5%
7200,School City of Mishawaka,354,329,92.9%,297,83.9%
7205,South Bend Community Sch Corp,1253,1042,83.2%,913,72.9%
7215,Union-North United School Corp,85,78,91.8%,74,87.1%
7230,Scott County School District 1,104,92,88.5%,88,84.6%
7255,Scott County School District 2,194,166,85.6%,154,79.4%
7285,Shelby Eastern Schools,90,86,95.6%,84,93.3%
7350,Northwestern Con School Corp,105,101,96.2%,97,92.4%
7360,Southwestern Con Sch Shelby Co,39,38,97.4%,35,89.7%
7365,Shelbyville Central Schools,256,246,96.1%,229,89.5%
7385,North Spencer County Sch Corp,137,136,99.3%,134,97.8%
7445,South Spencer County Sch Corp,104,93,89.4%,90,86.5%
7495,Oregon-Davis School Corp,46,41,89.1%,41,89.1%
7515,North Judson-San Pierre Sch Corp,109,100,91.7%,86,78.9%
7525,Knox Community School Corp,116,106,91.4%,104,89.7%
7605,Fremont Community Schools,94,83,88.3%,79,84.0%
7610,Hamilton Community Schools,32,28,87.5%,27,84.4%
7615,M S D Steuben County,190,159,83.7%,139,73.2%
7645,Northeast School Corp,76,62,81.6%,60,78.9%
7715,Southwest School Corp,148,135,91.2%,132,89.2%
7775,Switzerland County School Corp,106,102,96.2%,92,86.8%
7855,Lafayette School Corporation,389,355,91.3%,309,79.4%
7865,Tippecanoe School Corp,783,735,93.9%,672,85.8%
7875,West Lafayette Com School Corp,158,153,96.8%,153,96.8%
7935,Tri-Central Community Schools,67,64,95.5%,61,91.0%
7945,Tipton Community School Corp,120,117,97.5%,103,85.8%
7950,Union Co/Clg Corner Joint Sch Dist,119,110,92.4%,101,84.9%
7995,Evansville Vanderburgh Sch Corp,1581,1223,77.4%,1088,68.8%
8010,North Vermillion Com Sch Corp,47,40,85.1%,30,63.8%
8020,South Vermillion Com Sch Corp,130,118,90.8%,115,88.5%
8030,Vigo County School Corp,986,905,91.8%,855,86.7%
8045,Manchester Community Schools,98,95,96.9%,89,90.8%
8050,M S D Wabash County Schools,198,182,91.9%,154,77.8%
8060,Wabash City Schools,101,95,94.1%,83,82.2%
8115,M S D Warren County,92,90,97.8%,87,94.6%
8130,Warrick County School Corp,758,685,90.4%,639,84.3%
8205,Salem Community Schools,139,132,95.0%,113,81.3%
8215,East Washington School Corp,108,102,94.4%,93,86.1%
8220,West Washington School Corp,67,60,89.6%,59,88.1%
8305,Nettle Creek School Corp,86,78,90.7%,69,80.2%
8355,Western Wayne Schools,75,61,81.3%,53,70.7%
8360,Centerville-Abington Com Schs,106,95,89.6%,89,84.0%
8375,Northeastern Wayne Schools,97,91,93.8%,88,90.7%
8385,Richmond Community Schools,326,305,93.6%,277,85.0%
8425,Southern Wells Com Schools,77,72,93.5%,67,87.0%
8435,Northern Wells Com Schools,187,176,94.1%,162,86.6%
8445,M S D Bluffton-Harrison,123,120,97.6%,111,90.2%
8515,North White School Corp,62,55,88.7%,51,82.3%
8525,Frontier School Corporation,60,52,86.7%,49,81.7%
8535,Tri-County School Corporation,54,50,92.6%,45,83.3%
8565,Twin Lakes School Corp,160,134,83.8%,118,73.8%
8625,Smith-Green Community Schools,86,83,96.5%,82,95.3%
8665,Whitley Co Cons Schools,240,228,95.0%,215,89.6%
8810,CSUSA Howe,80,56,70.0%,56,70.0%
8815,CSUSA Manual,80,57,71.3%,49,61.3%
8820,Edison Learning Roosevelt,84,36,42.9%,30,35.7%
8830,EdPower Arlington,42,17,40.5%,16,38.1%
9200,Archdiocese of Indianapolis,1376,1335,97.0%,1322,96.1%
9205,Diocese of Gary,323,319,98.8%,308,95.4%
9210,Diocese of Lafayette Catholic Sch,249,245,98.4%,245,98.4%
9215,Diocese of Evansville,310,304,98.1%,300,96.8%
9220,Diocese of Fort Wayne,780,759,97.3%,747,95.8%
9230,Lutheran Schools of Indiana,265,262,98.9%,259,97.7%
9305,Excel Center - Richmond,87,29,33.3%,28,32.2%
9315,Signature School Inc,75,75,100.0%,75,100.0%
9320,Community Montessori Inc,33,33,100.0%,24,72.7%
9325,Options Charter School - Carmel,39,11,28.2%,8,20.5%
9330,Irvington Community School,97,70,72.2%,66,68.0%
9335,Excel Center - Lafayette Square,50,4,8.0%,4,8.0%
9345,Excel Center - Lafayette,106,21,19.8%,21,19.8%
9355,Excel Center - Kokomo,76,20,26.3%,20,26.3%
9370,Fall Creek Academy,20,17,85.0%,14,70.0%
9380,Christel House Academy South,31,24,77.4%,24,77.4%
9385,Christel House DORS South,34,9,26.5%,7,20.6%
9445,Charles A Tindley Accelerated Schl,28,24,85.7%,24,85.7%
9460,Thea Bowman Leadership Academy,94,89,94.7%,86,91.5%
9480,University Heights Preparatory Acd,25,11,44.0%,9,36.0%
9535,Gary Lighthouse Charter School,106,97,91.5%,79,74.5%
9545,21st Century Charter Sch of Gary,32,30,93.8%,28,87.5%
9575,Indpls Lighthouse Charter School,46,42,91.3%,40,87.0%
9620,Burris Laboratory School,50,49,98.0%,49,98.0%
9625,IN Acad for Sci Math Humanities,144,138,95.8%,138,95.8%
9640,Options Charter Sch - Noblesville,65,16,24.6%,16,24.6%
9650,Herron Charter,160,159,99.4%,158,98.8%
9655,Hope Academy,20,13,65.0%,13,65.0%
9670,Indianapolis Metropolitan High Sch,86,41,47.7%,39,45.3%
9705,Hammond Academy of Science & Tech,63,62,98.4%,59,93.7%
9730,Neighbors' New Vistas High School,80,20,25.0%,20,25.0%
9750,Excel Center - Anderson,97,29,29.9%,29,29.9%
9755,Carpe Diem - Meridian Campus,12,8,66.7%,8,66.7%
9765,Indiana Cyber Charter Sch Inc,234,0,0.0%,0,0.0%
9790,Anderson Preparatory Academy,65,58,89.2%,55,84.6%
9805,Hoosier Academy - Indianapolis,34,13,38.2%,8,23.5%
9830,Beacon Academy,13,2,15.4%,2,15.4%
9865,Hoosier Acad Virtual Charter,401,86,21.4%,70,17.5%
9875,Rock Creek Community Academy,37,37,100.0%,36,97.3%
9880,Career Academy High School,59,25,42.4%,24,40.7%
9885,Gary Middle College,68,16,23.5%,15,22.1%
9890,Indiana Virtual School,143,26,18.2%,22,15.4%
9895,Indiana Math Science Academy North,27,24,88.9%,23,85.2%
9905,Indiana Connections Academy,619,303,48.9%,279,45.1%
9910,Excel Center for Adult Learners,457,88,19.3%,74,16.2%
9920,Damar Charter Academy,21,0,0.0%,0,0.0%
9930,Nexus Academy of Indianapolis,26,20,76.9%,18,69.2%
N/A,Independent Non-Public Schools,1101,811,73.7%,772,70.1%
