State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,60,Adams Central Community Schools,8995,2490,729
IN,18,120,Alexandria Community School Corporation,8630,1484,376
IN,18,150,Anderson Community School Corporation,70231,10554,3175
IN,18,180,Argos Community Schools,3810,723,111
IN,18,210,Attica Consolidated School Corporation,4807,822,135
IN,18,270,Avon Community School Corporation,49425,10090,544
IN,18,330,Barr-Reeve Community School Corporation,5668,1445,228
IN,18,360,Bartholomew County School Corporation,75354,12927,1778
IN,18,390,Batesville Community School Corporation,12052,2333,235
IN,18,420,Baugo Community Schools,9728,2032,215
IN,18,450,Beech Grove City Schools,14424,2646,705
IN,18,480,Benton Community School Corporation,11011,2097,292
IN,18,570,Blackford County Schools,12149,1961,420
IN,18,600,Bloomfield School District,6735,1069,216
IN,18,660,Blue River Valley Schools,6611,722,136
IN,18,720,Bluffton-Harrison Metropolitan School District,8628,1496,240
IN,18,750,Boone Township Metropolitan School District,6285,1074,108
IN,18,900,Bremen Public Schools,8809,1843,163
IN,18,960,Brown County County School Corporation,14912,2197,366
IN,18,1020,Brownsburg Community School Corporation,44460,9104,471
IN,18,1050,Brownstown Central Community School Corporation,10768,1931,241
IN,18,1060,C. A. Beard Memorial School Corporation,7895,1336,205
IN,18,1170,Cannelton City Schools,1533,271,77
IN,18,1200,Carmel Clay Schools,95975,20447,557
IN,18,1290,Carroll Consolidated School Corporation,6509,1113,113
IN,18,1410,Caston School Corporation,4484,787,129
IN,18,1440,Center Grove Community School Corporation,44184,8800,425
IN,18,1560,Centerville-Abington Community Schools,8217,1601,309
IN,18,1710,Central Noble Community School Corporation,8778,1487,225
IN,18,2880,City of East Chicago School District,29087,5965,2578
IN,18,1890,Clark-Pleasant Community School Corporation,35127,6773,637
IN,18,1920,Clarksville Community School Corporation,9622,1454,285
IN,18,840,Clay Community Schools,25588,4285,811
IN,18,2130,Clinton Central School Corporation,5246,1048,128
IN,18,2160,Clinton Prairie School Corporation,5671,968,120
IN,18,2220,Cloverdale Community Schools,7349,1170,227
IN,18,2400,Concord Community Schools,26541,5138,878
IN,18,2430,Covington Community School Corporation,5294,854,106
IN,18,7020,Cowan Community School Corporation,3663,626,70
IN,18,2440,Crawford County Community School Corporation,10916,1808,428
IN,18,2460,Crawfordsville Community Schools,15547,2349,446
IN,18,12060,Crothersville Community Schools,3551,581,94
IN,18,2490,Crown Point Community School Corporation,40950,7360,600
IN,18,2520,Culver Community Schools Corporation,6874,1138,179
IN,18,9840,Daleville Community Schools,3963,638,80
IN,18,2550,Danville Community School Corporation,14984,2927,158
IN,18,1590,DeKalb County Central United School District,24467,4361,488
IN,18,3060,DeKalb County Eastern Community School District,7938,1576,166
IN,18,2610,Decatur County Community Schools,12372,2367,305
IN,18,2640,Decatur Township Metropolitan School District,33762,7198,1462
IN,18,2660,Delaware Community School Corporation,14743,2500,361
IN,18,2700,Delphi Community School Corporation,9561,1646,234
IN,18,2800,Duneland School Corporation,35348,6339,505
IN,18,2850,East Allen County Schools,68396,14274,2634
IN,18,2940,East Gibson School Corporation,6876,1068,138
IN,18,2970,East Noble School Corporation,23224,4078,566
IN,18,9000,East Porter County School Corporation,13176,2308,137
IN,18,3000,East Washington School Corporation,9506,1741,347
IN,18,3030,Eastbrook Community School Corporation,10245,1585,200
IN,18,3090,Eastern Greene County School District,7847,1436,240
IN,18,3120,Eastern Hancock County Community School Corporation,6077,1112,115
IN,18,3150,Eastern Howard School Corporation,6473,1212,137
IN,18,7110,Eastern Pulaski Community School Corporation,7074,1146,215
IN,18,3240,Edinburgh Community School Corporation,5360,884,198
IN,18,3270,Elkhart Community Schools,77947,14877,3259
IN,18,3300,Elwood Community School Corporation,9903,1652,425
IN,18,3330,Eminence Community School Corporation,2958,522,74
IN,18,3450,Evansville-Vanderburgh School Corporation,181721,28532,5978
IN,18,3480,Fairfield Community Schools,12249,3039,206
IN,18,3510,Fayette County School Corporation,23331,3971,767
IN,18,3570,Flat Rock-Hawcreek School Corporation,5807,1048,112
IN,18,3630,Fort Wayne Community Schools,224672,39223,9779
IN,18,3660,Frankfort Community Schools,17800,3407,724
IN,18,3690,Franklin Community School Corporation,32463,5722,571
IN,18,3700,Franklin County Community School Corporation,17138,3038,389
IN,18,3750,Franklin Township Community School Corporation,55156,11428,1196
IN,18,12880,Frankton-Lapel Community Schools,12044,2203,292
IN,18,3780,Fremont Community Schools,7027,1003,117
IN,18,3810,Frontier School Corporation,3994,734,67
IN,18,3840,Garrett-Keyser-Butler Community Schools,9473,1821,254
IN,18,3870,Gary Community School Corporation,73750,14152,6135
IN,18,3930,Goshen Community Schools,37636,7072,1155
IN,18,3940,Greater Clark County Schools,78023,12621,1947
IN,18,3960,Greater Jasper Consolidated Schools,19824,3415,226
IN,18,3990,Greencastle Community School Corporation,13969,1946,289
IN,18,4050,Greenfield-Central Community Schools,28921,4846,442
IN,18,4080,Greensburg Community Schools,14547,2546,454
IN,18,4110,Greenwood Community School Corporation,26665,4455,464
