State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,4170,Griffith Public Schools,16450,2775,431
IN,18,4230,Hamilton Community Schools,4336,658,63
IN,18,4260,Hamilton Heights School Corporation,14811,2699,194
IN,18,10650,Hamilton Southeastern Schools,103835,22817,884
IN,18,4320,Hammond School City,79515,14882,4361
IN,18,4350,Hanover Community School Corporation,12187,2176,196
IN,18,4560,Highland School Town,23252,3464,382
IN,18,4590,Hobart School City,23267,3809,556
IN,18,4710,Huntington County Community School Corporation,36400,5881,852
IN,18,4770,Indianapolis Public Schools,308736,50343,20642
IN,18,4800,Jac-Cen-Del Community School Corporation,5079,864,201
IN,18,4980,Jay School Corporation,21046,3951,814
IN,18,5190,Jennings County Schools,27758,4784,872
IN,18,9120,John Glenn School Corporation,9942,1889,259
IN,18,5280,Kankakee Valley School Corporation,20135,3745,374
IN,18,5340,Knox Community School Corporation,10921,1897,422
IN,18,5370,Kokomo-Center Township Consolidated School Corporation,45172,6979,1863
IN,18,5580,La Porte Community School Corporation,38141,6438,1118
IN,18,5400,Lafayette School Corporation,61405,9601,2143
IN,18,5450,Lake Central School Corporation,65343,11011,752
IN,18,5460,Lake Ridge Schools,11931,2050,815
IN,18,2910,Lake Station Community Schools,8400,1445,371
IN,18,5520,Lakeland School Corporation,15443,3130,450
IN,18,3720,Lanesville Community School Corporation,4152,730,49
IN,18,5670,Lawrence Township Metropolitan School District,99816,19002,3546
IN,18,5700,Lawrenceburg Community School Corporation,10877,1778,279
IN,18,5790,Lebanon Community School Corporation,24710,4060,510
IN,18,5880,Liberty-Perry Community School Corporation,6087,1014,151
IN,18,5910,Linton-Stockton School Corporation,8204,1306,268
IN,18,6030,Logansport Community School Corporation,23371,4022,800
IN,18,6060,Loogootee Community School Corporation,5732,956,138
IN,18,6090,Maconaquah School Corporation,14933,2235,491
IN,18,6120,Madison Consolidated Schools,22990,3596,673
IN,18,6240,Madison-Grant United School Corporation,8337,1431,240
IN,18,6270,Manchester Community Schools,10064,1407,224
IN,18,6390,Marion Community Schools,35207,4923,1653
IN,18,6510,Martinsville Schools Metropolitan School District,30882,5282,812
IN,18,1230,Medora Community School Corporation,1568,299,74
IN,18,9690,Merrillville Community School,46632,7609,1578
IN,18,6570,Michigan City Area Schools,47827,7174,2187
IN,18,6600,Middlebury Community Schools,22604,5391,507
IN,18,6630,Milan Community Schools,6220,1165,150
IN,18,6660,Mill Creek Community School Corporation,10299,1918,190
IN,18,6840,Mishawaka School City,30672,5373,1047
IN,18,6870,Mississinewa Community School Corporation,10396,1837,411
IN,18,6900,Mitchell Community Schools,11856,1990,352
IN,18,7080,Monroe Central School Corporation,5423,924,170
IN,18,630,Monroe County Community School Corporation,127304,13300,2229
IN,18,4140,Monroe-Gregg School District,7983,1429,127
IN,18,7140,Mooresville Consolidated School Corporation,24395,4448,556
IN,18,7230,Mount Pleasant Township Community School Corporation,13854,2333,266
IN,18,7260,Mount Vernon Community School Corporation,20454,3814,239
IN,18,7290,Mount Vernon Metropolitan School District,15637,2626,341
IN,18,7320,Muncie Community Schools,67984,7734,2448
IN,18,7350,Munster School Town,23103,4159,356
IN,18,7380,Nettle Creek School Corporation,6883,1317,250
IN,18,7410,New Albany-Floyd County Consolidated Schools,76990,13026,1752
IN,18,7440,New Castle Community School Corporation,22892,3605,832
IN,18,7470,New Durham Township Metropolitan School District,8550,906,131
IN,18,7560,New Prairie United School Corporation,15234,2772,418
IN,18,7620,Nineveh-Hensley-Jackson United School Corporation,11070,1993,170
IN,18,7650,Noblesville Schools,58263,11288,681
IN,18,7680,North Adams Community Schools,15442,2678,380
IN,18,118,North Central Parke Community School Corporation,10978,1632,372
IN,18,7710,North Daviess Community Schools,9256,2236,369
IN,18,7770,North Gibson School Corporation,14437,2417,382
IN,18,690,North Harrison Community School Corporation,13902,2466,314
IN,18,7800,North Judson-San Pierre School Corporation,7352,1283,252
IN,18,7830,North Knox School Corporation,8685,1399,297
IN,18,7860,North Lawrence Community Schools,33662,5559,1039
IN,18,7890,North Miami Community Schools,5841,1088,151
IN,18,7900,North Montgomery Community School Corporation,11979,2142,272
IN,18,7920,North Newton School Corporation,9028,1492,194
IN,18,7950,North Posey County Schools Metropolitan School District,9839,1593,128
IN,18,7980,North Putnam Community Schools,10081,1730,249
IN,18,8010,North Spencer County School Corporation,11868,1979,151
IN,18,8070,North Vermillion Community School Corporation,4326,707,132
IN,18,8100,North West Hendricks Schools,10681,2190,87
IN,18,8130,North White School Corporation,5918,948,252
IN,18,8120,Northeast Dubois County School Corporation,5521,977,64
IN,18,8160,Northeast School Corporation,8409,1351,255
IN,18,8190,Northeastern Wayne Schools,5635,1081,241
IN,18,8220,Northern Wells Community Schools,15356,2738,291
IN,18,8250,Northwest Allen County Schools,36559,7867,526
IN,18,8310,Northwestern Consolidated School Corporation,7666,1441,222
IN,18,2040,Northwestern School Corporation,8678,1574,214
IN,18,8340,Oak Hill United School Corporation,7481,1316,205
IN,18,8460,Oregon-Davis School Corporation,4343,712,143
IN,18,8490,Orleans Community Schools,4641,845,191
IN,18,8640,Paoli Community School Corporation,9081,1555,361
IN,18,8760,Penn-Harris-Madison School Corporation,61652,12005,988
IN,18,1740,Perry Central Community School Corporation,7216,1107,112
IN,18,8820,Perry Township Metropolitan School District,97849,16498,3361
IN,18,8850,Peru Community Schools,13207,2223,611
IN,18,8900,Pike County School Corporation,12431,2016,274
IN,18,8910,Pike Township Metropolitan School District,76627,13682,3022
IN,18,8940,Pioneer Regional School Corporation,5060,886,152
IN,18,8970,Plainfield Community School Corporation,30761,5088,355
IN,18,9060,Plymouth Community School Corporation,19396,3519,645
IN,18,9150,Portage Township Schools,48069,8485,1072
IN,18,9180,Porter Township School Corporation,9567,1567,97
IN,18,9300,Prairie Heights Community School Corporation,9868,1589,275
IN,18,1770,Randolph Central School Corporation,9475,1575,408
IN,18,3180,Randolph Eastern School Corporation,5012,895,244
IN,18,10740,Randolph Southern School Corporation,3119,556,141
IN,18,9420,Rensselaer Central School Corporation,10709,1797,231
IN,18,9480,Richland-Bean Blossom Community School Corporation,18192,3217,365
IN,18,9510,Richmond Community School Corporation,40618,6017,1512
IN,18,9600,Rising Sun-Ohio County Community Schools,5932,850,116
IN,18,4620,River Forest Community School Corporation,7271,1291,437
IN,18,9630,Rochester Community School Corporation,11315,1897,336
IN,18,9720,Rossville Consolidated School District,4987,1042,113
IN,18,9750,Rush County Schools,14585,2505,433
IN,18,9810,Salem Community Schools,12561,2003,378
IN,18,9990,Scott County School District 1,6509,1151,328
IN,18,10020,Scott County School District 2,17221,2763,520
IN,18,10080,Seymour Community Schools,28126,5001,710
IN,18,10110,Shakamak Schools Metropolitan School District,5241,890,165
IN,18,3210,Shelby Eastern Schools,8442,1408,125
IN,18,10140,Shelbyville Central Schools,23535,3968,642
IN,18,8280,Shenandoah School Corporation,7328,1283,184
IN,18,6480,Sheridan Community Schools,7005,1289,131
IN,18,10170,Shoals Community School Corporation,4439,670,130
IN,18,10230,Smith-Green Community Schools,7453,1332,106
IN,18,10260,South Adams Schools,10795,2549,860
IN,18,10290,South Bend Community School Corporation,161428,26567,6836
IN,18,2190,South Central Community School Corporation,4056,745,91
IN,18,240,South Dearborn Community School Corporation,17000,2937,442
IN,18,10350,South Gibson School Corporation,12390,2275,190
IN,18,10360,South Harrison Community Schools,21395,3475,472
IN,18,10380,South Henry School Corporation,4392,730,128
IN,18,10410,South Knox School Corporation,6073,1101,141
IN,18,10440,South Madison Community School Corporation,25661,4607,427
IN,18,10450,South Montgomery Community School Corporation,10548,1908,199
IN,18,10470,South Newton School Corporation,5073,836,193
IN,18,10500,South Putnam Community Schools,9511,1195,156
IN,18,10530,South Ripley Community School Corporation,7697,1256,256
IN,18,10560,South Spencer County School Corporation,8780,1533,196
IN,18,10590,South Vermillion Community School Corporation,11319,1925,288
IN,18,10640,Southeast Dubois County School Corporation,7412,1284,73
IN,18,10620,Southeast Fountain School Corporation,6786,1137,207
IN,18,10680,Southeastern School Corporation,8226,1413,148
IN,18,10710,Southern Hancock County Community School Corporation,18265,3428,154
IN,18,10770,Southern Wells Community Schools,3965,753,89
IN,18,30,Southwest Allen County Metropolitan School District,40777,8553,520
IN,18,10870,Southwest Dubois County School Corporation,9795,1706,198
IN,18,10900,Southwest Parke Community School Corporation,5110,900,206
IN,18,10860,Southwest School Corporation,12393,1664,284
IN,18,10800,Southwestern Jefferson County Consolidated Schools,9428,1401,245
IN,18,10830,Southwestern Shelby County Consolidated Schools,4360,801,83
IN,18,10920,Speedway School Town,12307,1812,425
IN,18,10950,Spencer-Owen Community Schools,17366,2841,513
IN,18,10980,Springs Valley Community School Corporation,5613,914,221
IN,18,11100,Steuben County Metropolitan School District,18018,2720,429
IN,18,11190,Sunman-Dearborn Community School Corporation,24466,4574,312
IN,18,11220,Switzerland County School Corporation,10527,1933,492
IN,18,11250,Taylor Community School Corporation,9273,1461,266
IN,18,11260,Tell City-Troy Township School Corporation,10217,1608,256
IN,18,11340,Tippecanoe School Corporation,97452,15275,1673
IN,18,11370,Tippecanoe Valley School Corporation,11732,2149,272
IN,18,11400,Tipton Community School Corporation,10388,1648,204
IN,18,8040,Tipton County Northern Community School Corporation,4794,788,49
IN,18,11430,Tri-County School Corporation,4231,781,95
IN,18,11460,Tri-Creek School Corporation,20167,3685,406
IN,18,107,Tri-Township Consolidated School Corporation,2925,461,67
IN,18,11490,Triton School Corporation,5951,1216,146
IN,18,11580,Twin Lakes School Corporation,14347,2353,329
IN,18,11610,Union County-College Corner Joint School District,7575,1229,217
IN,18,11730,Union School Corporation,2854,484,115
IN,18,11700,Union Township School Corporation,8996,1649,90
IN,18,11910,Union-North United School Corporation,7970,1464,233
IN,18,11970,Valparaiso Community Schools,44180,6775,533
IN,18,12090,Vigo County School Corporation,107931,15929,3318
IN,18,12120,Vincennes Community School Corporation,22986,3255,717
IN,18,12240,Wa-Nee Community Schools,20253,4560,436
IN,18,12150,Wabash City Schools,8947,1391,284
IN,18,12180,Wabash County Schools Metropolitan School District,12751,2213,232
IN,18,6080,Warren County Metropolitan School District,7073,1141,149
IN,18,12360,Warren Township Metropolitan School District,66418,13321,3632
IN,18,12390,Warrick County School Corporation,62498,11636,986
IN,18,12420,Warsaw Community Schools,41137,7292,927
IN,18,12450,Washington Community School Corporation,18045,3277,680
IN,18,12720,Washington Township Metropolitan School District,91677,13675,2613
IN,18,5550,Wawasee Community School Corporation,20304,3367,526
IN,18,12810,Wayne Township Metropolitan School District,84457,15112,4524
IN,18,4500,Wes-Del Community Schools,5309,797,145
IN,18,9360,West Central School Corporation,4489,810,130
IN,18,9370,West Clark Community Schools,28386,5043,514
IN,18,12870,West Lafayette Community School Corporation,27111,2372,218
IN,18,12900,West Noble School Corporation,12978,2795,412
IN,18,12930,West Washington School Corporation,5603,1008,205
IN,18,12990,Western Boone County Community School Corporation,10758,2004,209
IN,18,4470,Western School Corporation,12972,2521,258
IN,18,13050,Western Wayne Schools,5881,1041,163
IN,18,13080,Westfield-Washington Schools,37891,8034,453
IN,18,13110,Westview School Corporation,19932,5601,675
IN,18,8,White River Valley School District,5617,895,159
IN,18,13200,Whiting School City,4541,834,175
IN,18,13230,Whitko Community School Corporation,10681,1963,315
IN,18,2280,Whitley County Consolidated Schools,22945,3884,380
IN,18,2830,Zionsville Community Schools,27778,6540,138
