Corp Id,CORPORATION NAME,Cohort N,Grad N,2019 State Grad Rate,Non-Waiver Grad N,2019 State Non-Waiver Grad Rate
9545,21st Century Charter School of Gary,64,63,98.44%,45,70.31%
15,Adams Central Community Schools,99,98,98.99%,95,95.96%
5265,Alexandria Community School Corporation,94,90,95.74%,73,77.66%
5275,Anderson Community School Corporation,457,367,80.31%,327,71.55%
9790,Anderson Preparatory Academy,58,53,91.38%,48,82.76%
5470,Argos Community Schools,56,48,85.71%,43,76.79%
2435,Attica Consolidated School Corporation,50,49,98.00%,48,96.00%
3315,Avon Community School Corporation,828,801,96.74%,756,91.30%
1315,Barr-Reeve Community Schools Inc,44,44,100.00%,43,97.73%
365,Bartholomew Consolidated School Corporation,934,807,86.40%,669,71.63%
6895,Batesville Community School Corporation,193,177,91.71%,170,88.08%
2260,Baugo Community Schools,144,132,91.67%,122,84.72%
5380,Beech Grove City Schools,227,180,79.30%,165,72.69%
395,Benton Community School Corporation,117,111,94.87%,107,91.45%
515,Blackford County Schools,129,121,93.80%,120,93.02%
2920,Bloomfield School District,47,46,97.87%,45,95.74%
3405,Blue River Valley Schools,41,38,92.68%,33,80.49%
5480,Bremen Public Schools,126,117,92.86%,115,91.27%
670,Brown County School Corporation,144,139,96.53%,122,84.72%
3305,Brownsburg Community School Corporation,660,654,99.09%,635,96.21%
3695,Brownstown Cnt Com School Corporation,133,130,97.74%,126,94.74%
9620,Burris Laboratory School,45,40,88.89%,40,88.89%
3455,C A Beard Memorial School Corporation,95,85,89.47%,76,80.00%
6340,Cannelton City Schools,40,25,62.50%,7,17.50%
9880,Career Academy High School,52,47,90.38%,46,88.46%
3060,Carmel Clay Schools,1284,1253,97.59%,1213,94.47%
750,Carroll Consolidated School Corporation,84,78,92.86%,74,88.10%
2650,Caston School Corporation,46,41,89.13%,35,76.09%
4205,Center Grove Community School Corporation,582,558,95.88%,528,90.72%
8360,Centerville-Abington Com Schs,116,108,93.10%,106,91.38%
6055,Central Noble Com School Corporation,111,100,90.09%,91,81.98%
9445,Charles A Tindley Accelerated Sch,53,43,81.13%,41,77.36%
9380,Christel House Academy South,31,24,77.42%,24,77.42%
9385,Christel House DORS,76,18,23.68%,17,22.37%
4145,Clark-Pleasant Community School Corporation,464,419,90.30%,338,72.84%
1000,Clarksville Community School Corporation,92,89,96.74%,72,78.26%
1125,Clay Community Schools,271,245,90.41%,220,81.18%
1150,Clinton Central School Corporation,67,59,88.06%,59,88.06%
1160,Clinton Prairie School Corporation,87,80,91.95%,76,87.36%
6750,Cloverdale Community Schools,89,87,97.75%,86,96.63%
9320,Community Montessori Inc,39,36,92.31%,33,84.62%
1170,Community Schools of Frankfort,261,237,90.80%,220,84.29%
2270,Concord Community Schools,405,363,89.63%,275,67.90%
2440,Covington Community School Corporation,69,66,95.65%,66,95.65%
1900,Cowan Community School Corporation,57,55,96.49%,54,94.74%
1300,Crawford County Community School Corporation,103,80,77.67%,72,69.90%
5855,Crawfordsville Community Schools,186,158,84.95%,118,63.44%
3710,Crothersville Community Schools,24,22,91.67%,20,83.33%
4660,Crown Point Community School Corporation,723,706,97.65%,630,87.14%
8810,CSUSA Howe,48,41,85.42%,41,85.42%
8815,CSUSA Manual,123,70,56.91%,65,52.85%
5455,Culver Community Schools Corp,66,60,90.91%,58,87.88%
1940,Daleville Community Schools,64,60,93.75%,55,85.94%
9920,Damar Charter Academy,25,2,8.00%,2,8.00%
3325,Danville Community School Corporation,204,193,94.61%,191,93.63%
1655,Decatur County Community Schools,148,141,95.27%,118,79.73%
1835,DeKalb Co Ctl United School District,290,248,85.52%,222,76.55%
1805,DeKalb Co Eastern Com School District,91,88,96.70%,83,91.21%
1875,Delaware Community School Corporation,216,197,91.20%,185,85.65%
755,Delphi Community School Corporation,92,84,91.30%,79,85.87%
9950,Dugger Union Community School Corporation,41,34,82.93%,26,63.41%
6470,Duneland School Corporation,482,447,92.74%,369,76.56%
255,East Allen County Schools,818,739,90.34%,679,83.01%
2725,East Gibson School Corporation,69,57,82.61%,53,76.81%
6060,East Noble School Corporation,298,264,88.59%,261,87.58%
6510,East Porter County School Corporation,203,199,98.03%,192,94.58%
8215,East Washington School Corporation,116,99,85.34%,84,72.41%
2815,Eastbrook Community School Corporation,149,143,95.97%,124,83.22%
2940,Eastern Greene Schools,93,89,95.70%,78,83.87%
3145,Eastern Hancock Co Com School Corporation,87,84,96.55%,72,82.76%
3480,Eastern Howard School Corporation,104,103,99.04%,98,94.23%
6620,Eastern Pulaski Community School Corporation,92,86,93.48%,51,55.43%
4215,Edinburgh Community School Corporation,57,56,98.25%,39,68.42%
8820,Edison Learning Roosevelt,127,62,48.82%,14,11.02%
2305,Elkhart Community Schools,854,740,86.65%,648,75.88%
5280,Elwood Community School Corporation,107,97,90.65%,81,75.70%
5910,Eminence Community School Corporation,37,34,91.89%,34,91.89%
7995,Evansville Vanderburgh School Corporation,1671,1355,81.09%,988,59.13%
9750,Excel Center - Anderson,86,20,23.26%,20,23.26%
9050,Excel Center - Clarksville,103,22,21.36%,22,21.36%
9190,Excel Center - Gary,10,1,10.00%,1,10.00%
9055,Excel Center - Hammond,67,2,2.99%,2,2.99%
9355,Excel Center - Kokomo,118,13,11.02%,13,11.02%
9345,Excel Center - Lafayette,153,49,32.03%,48,31.37%
9335,Excel Center - Lafayette Square,74,14,18.92%,14,18.92%
9160,Excel Center - Muncie,55,6,10.91%,6,10.91%
9855,Excel Center - Noblesville,72,32,44.44%,32,44.44%
9305,Excel Center - Richmond,108,27,25.00%,27,25.00%
9995,Excel Center - Shelbyville,58,14,24.14%,14,24.14%
9900,Excel Center - South Bend,25,0,0.00%,0,0.00%
9840,Excel Center - University Heights,55,3,5.45%,3,5.45%
9910,Excel Center for Adult Learners,391,38,9.72%,38,9.72%
2155,Fairfield Community Schools,135,125,92.59%,116,85.93%
2395,Fayette County School Corporation,260,237,91.15%,209,80.38%
370,Flat Rock-Hawcreek School Corporation,73,63,86.30%,52,71.23%
235,Fort Wayne Community Schools,2054,1762,85.78%,1556,75.75%
4225,Franklin Community School Corporation,385,335,87.01%,261,67.79%
2475,Franklin County Community School Corporation,202,178,88.12%,148,73.27%
