Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
15,Adams Central Community Schools,87,86,98.90%,85,97.70%
5265,Alexandria Community School Corporation,117,112,95.70%,108,92.30%
5275,Anderson Community School Corporation,387,367,94.80%,298,77.00%
5470,Argos Community Schools,48,38,79.20%,37,77.10%
2435,Attica Consolidated School Corporation,61,57,93.40%,53,86.90%
3315,Avon Community School Corporation,704,689,97.90%,646,91.80%
1315,Barr-Reeve Community School Corporation,46,44,95.70%,44,95.70%
365,Bartholomew Consolidated School Corporation,799,719,90.00%,660,82.60%
6895,Batesville Community School Corporation,197,193,98.00%,186,94.40%
2260,Baugo Community Schools,141,134,95.00%,125,88.70%
5380,Beech Grove City Schools,163,142,87.10%,131,80.40%
395,Benton Community School Corporation,111,104,93.70%,100,90.10%
515,Blackford County Schools,136,125,91.90%,118,86.80%
2920,Bloomfield School District,65,63,96.90%,63,96.90%
3405,Blue River Valley Schools,34,30,88.20%,29,85.30%
8445,Bluffton-Harrison Metropolitan School District,110,108,98.20%,99,90.00%
6460,Boone Township Metropolitan School District,87,83,95.40%,83,95.40%
5480,Bremen Public Schools,115,103,89.60%,103,89.60%
670,Brown County School Corporation,144,143,99.30%,135,93.80%
3305,Brownsburg Community School Corporation,559,553,98.90%,542,97.00%
3695,Brownstown Central Community School Corporation,141,137,97.20%,132,93.60%
3455,C. A. Beard Memorial School Corporation,104,100,96.20%,95,91.30%
6340,Cannelton City Schools,21,14,66.70%,8,38.10%
3060,Carmel Clay Schools,1218,1175,96.50%,1146,94.10%
750,Carroll Consolidated School Corporation,59,56,94.90%,56,94.90%
2650,Caston School Corporation,62,55,88.70%,47,75.80%
4205,Center Grove Community School Corporation,559,529,94.60%,514,91.90%
8360,Centerville-Abington Community Schools,120,113,94.20%,109,90.80%
6055,Central Noble Community School Corporation,108,102,94.40%,78,72.20%
4145,Clark-Pleasant Community School Corporation,433,406,93.80%,381,88.00%
1000,Clarksville Community School Corporation,92,89,96.70%,82,89.10%
1125,Clay Community Schools,268,249,92.90%,237,88.40%
1150,Clinton Central School Corporation,75,73,97.30%,69,92.00%
1160,Clinton Prairie School Corporation,69,66,95.70%,65,94.20%
6750,Cloverdale Community Schools,105,101,96.20%,94,89.50%
2270,Concord Community Schools,371,333,89.80%,306,82.50%
2440,Covington Community School Corporation,70,66,94.30%,64,91.40%
1900,Cowan Community School Corporation,47,44,93.60%,42,89.40%
1300,Crawford County Community School Corporation,100,86,86.00%,79,79.00%
5855,Crawfordsville Community Schools,148,143,96.60%,126,85.10%
3710,Crothersville Community Schools,30,27,90.00%,24,80.00%
4660,Crown Point Community School Corporation,723,695,96.10%,648,89.60%
5455,Culver Community Schools Corporation,70,64,91.40%,59,84.30%
1940,Daleville Community Schools,60,59,98.30%,57,95.00%
3325,Danville Community School Corporation,202,192,95.00%,186,92.10%
1655,Decatur County Community Schools,158,148,93.70%,130,82.30%
5300,Decatur Township Metropolitan School District,458,373,81.40%,341,74.50%
1835,DeKalb County Central United School District,274,246,89.80%,231,84.30%
1805,DeKalb County Eastern Community School District,131,124,94.70%,108,82.40%
1875,Delaware Community School Corporation,192,181,94.30%,174,90.60%
755,Delphi Community School Corporation,107,96,89.70%,90,84.10%
6470,Duneland School Corporation,467,448,95.90%,428,91.60%
255,East Allen County Schools,819,752,91.80%,687,83.90%
2725,East Gibson School Corporation,52,51,98.10%,41,78.80%
6060,East Noble School Corporation,286,252,88.10%,217,75.90%
6510,East Porter County School Corporation,186,181,97.30%,172,92.50%
8215,East Washington School Corporation,120,110,91.70%,97,80.80%
2815,Eastbrook Community School Corporation,130,127,97.70%,112,86.20%
2940,Eastern Greene County School District,90,80,88.90%,75,83.30%
3145,Eastern Hancock County Community School Corporation,89,83,93.30%,83,93.30%
3480,Eastern Howard School Corporation,88,87,98.90%,86,97.70%
6620,Eastern Pulaski Community School Corporation,101,94,93.10%,86,85.10%
4215,Edinburgh Community School Corporation,68,65,95.60%,62,91.20%
2305,Elkhart Community Schools,785,696,88.70%,625,79.60%
5280,Elwood Community School Corporation,89,81,91.00%,71,79.80%
5910,Eminence Community School Corporation,28,28,100.00%,27,96.40%
7995,Evansville Vanderburgh School Corporation,1535,1212,79.00%,1090,71.00%
2155,Fairfield Community Schools,136,126,92.60%,123,90.40%
2395,Fayette County School Corporation,251,228,90.80%,208,82.90%
370,Flat Rock-Hawcreek School Corporation,56,56,100.00%,51,91.10%
235,Fort Wayne Community Schools,1865,1664,89.20%,1429,76.60%
1170,Frankfort Community Schools,232,213,91.80%,191,82.30%
4225,Franklin Community School Corporation,365,345,94.50%,320,87.70%
2475,Franklin County Community School Corporation,182,167,91.80%,158,86.80%
5310,Franklin Township Community School Corporation,616,597,96.90%,565,91.70%
5245,Frankton-Lapel Community Schools,227,218,96.00%,200,88.10%
7605,Fremont Community Schools,79,67,84.80%,62,78.50%
8525,Frontier School Corporation,60,56,93.30%,49,81.70%
1820,Garrett-Keyser-Butler Community School Corporation,139,135,97.10%,121,87.10%
4690,Gary Community School Corporation,333,286,85.90%,252,75.70%
2315,Goshen Community Schools,455,401,88.10%,375,82.40%
1010,Greater Clark County Schools,726,682,93.90%,615,84.70%
2120,Greater Jasper Consolidated Schools,286,275,96.20%,271,94.80%
6755,Greencastle Community School Corporation,128,119,93.00%,107,83.60%
3125,Greenfield-Central Community Schools,332,302,91.00%,290,87.30%
1730,Greensburg Community Schools,140,139,99.30%,131,93.60%
4245,Greenwood Community School Corporation,257,234,91.10%,227,88.30%
4700,Griffith Public Schools,188,180,95.70%,152,80.90%
7610,Hamilton Community Schools,42,34,81.00%,33,78.60%
3025,Hamilton Heights School Corporation,158,151,95.60%,148,93.70%
3005,Hamilton Southeastern Schools,1428,1374,96.20%,1346,94.30%
4580,Hanover Community School Corporation,156,149,95.50%,146,93.60%
3625,Huntington County Community School Corporation,342,312,91.20%,292,85.40%
5385,Indianapolis Public Schools,1130,869,76.90%,725,64.20%
6900,Jac-Cen-Del Community School Corporation,59,53,89.80%,51,86.40%
3945,Jay School Corporation,299,281,94.00%,245,81.90%
4015,Jennings County School Corporation,312,294,94.20%,259,83.00%
7150,John Glenn School Corporation,170,158,92.90%,154,90.60%
3785,Kankakee Valley School Corporation,242,229,94.60%,222,91.70%
7525,Knox Community School Corporation,135,120,88.90%,118,87.40%
3500,Kokomo School Corporation,449,370,82.40%,316,70.40%
7855,Lafayette School Corporation,459,405,88.20%,364,79.30%
4615,Lake Central School Corporation,758,724,95.50%,697,92.00%
4650,Lake Ridge New Tech Schools,141,136,96.50%,100,70.90%
4680,Lake Station Community Schools,84,77,91.70%,67,79.80%
4535,Lakeland School Corporation,154,131,85.10%,122,79.20%
3160,Lanesville Community School Corporation,58,57,98.30%,53,91.40%
4945,LaPorte Community School Corporation,444,393,88.50%,348,78.40%
5330,Lawrence Township Metropolitan School District,1157,1069,92.40%,871,75.30%
1620,Lawrenceburg Community School Corporation,146,142,97.30%,127,87.00%
665,Lebanon Community School Corporation,243,227,93.40%,220,90.50%
1895,Liberty-Perry Community School Corporation,79,78,98.70%,77,97.50%
