Corp ID,Corp Name,County,2016 Corp Grade
4680,Lake Station Community Schools,Lake,C
4690,Gary Community School Corp,Lake,F
4700,Griffith Public Schools,Lake,B
4710,School City of Hammond,Lake,C
4720,School Town of Highland,Lake,B
4730,School City of Hobart,Lake,B
4740,School Town of Munster,Lake,B
4760,School City of Whiting,Lake,B
4805,New Prairie United School Corp,LaPorte,B
4860,M S D of New Durham Township,LaPorte,C
4915,Tri-Township Cons School Corp,LaPorte,C
4925,Michigan City Area Schools,LaPorte,C
4940,South Central Com School Corp,LaPorte,B
4945,LaPorte Community School Corp,LaPorte,B
5075,North Lawrence Com Schools,Lawrence,C
5085,Mitchell Community Schools,Lawrence,C
5245,Frankton-Lapel Community Schools,Madison,C
5255,South Madison Com Sch Corp,Madison,B
5265,Alexandria Community School Corp,Madison,C
5275,Anderson Community School Corp,Madison,C
5280,Elwood Community School Corp,Madison,C
5300,M S D Decatur Township,Marion,C
5310,Franklin Township Com Sch Corp,Marion,B
5330,M S D Lawrence Township,Marion,C
5340,Perry Township Schools,Marion,B
5350,M S D Pike Township,Marion,C
5360,M S D Warren Township,Marion,C
5370,M S D Washington Township,Marion,C
5375,M S D Wayne Township,Marion,C
5380,Beech Grove City Schools,Marion,C
5385,Indianapolis Public Schools,Marion,D
5400,School Town of Speedway,Marion,A
5455,Culver Community Schools Corp,Marshall,C
5470,Argos Community Schools,Marshall,C
5480,Bremen Public Schools,Marshall,B
5485,Plymouth Community School Corp,Marshall,B
5495,Triton School Corporation,Marshall,B
5520,Shoals Community School Corp,Martin,C
5525,Loogootee Community Sch Corp,Martin,B
5615,Maconaquah School Corp,Miami,C
5620,North Miami Community Schools,Miami,C
5625,Oak Hill United School Corp,Miami,C
5635,Peru Community Schools,Miami,B
5705,Richland-Bean Blossom C S C,Monroe,A
5740,Monroe County Community Sch Corp,Monroe,B
5835,North Montgomery Com Sch Corp,Montgomery,B
5845,South Montgomery Com Sch Corp,Montgomery,B
5855,Crawfordsville Community Schools,Montgomery,B
5900,Monroe-Gregg School District,Morgan,C
5910,Eminence Community School Corp,Morgan,C
5925,M S D Martinsville Schools,Morgan,B
5930,Mooresville Con School Corp,Morgan,B
5945,North Newton School Corp,Newton,C
5995,South Newton School Corp,Newton,B
6055,Central Noble Com School Corp,Noble,C
6060,East Noble School Corporation,Noble,B
6065,West Noble School Corporation,Noble,B
6080,Rising Sun-Ohio Co Com,Ohio,C
6145,Orleans Community Schools,Orange,B
6155,Paoli Community School Corp,Orange,C
6160,Springs Valley Com School Corp,Orange,C
6195,Spencer-Owen Community Schools,Owen,B
6260,Southwest Parke Com Sch Corp,Parke,C
6325,Perry Central Com Schools Corp,Perry,B
6340,Cannelton City Schools,Perry,B
6350,Tell City-Troy Twp School Corp,Perry,B
6375,North Central Parke Comm Schl Corp,Parke,C
6445,Pike County School Corp,Pike,B
6460,M S D Boone Township,Porter,B
6470,Duneland School Corporation,Porter,B
6510,East Porter County School Corp,Porter,B
6520,Porter Township School Corp,Porter,B
6530,Union Township School Corp,Porter,B
6550,Portage Township Schools,Porter,B
6560,Valparaiso Community Schools,Porter,B
6590,M S D Mount Vernon,Posey,A
6600,M S D North Posey Co Schools,Posey,A
6620,Eastern Pulaski Community Sch Corp,Pulaski,B
6630,West Central School Corp,Pulaski,C
6705,South Putnam Community Schools,Putnam,C
6715,North Putnam Community Schools,Putnam,B
6750,Cloverdale Community Schools,Putnam,B
6755,Greencastle Community School Corp,Putnam,C
6795,Union School Corporation,Randolph,C
6805,Randolph Southern School Corp,Randolph,B
6820,Monroe Central School Corp,Randolph,B
6825,Randolph Central School Corp,Randolph,B
6835,Randolph Eastern School Corp,Randolph,C
6865,South Ripley Com Sch Corp,Ripley,B
6895,Batesville Community School Corp,Ripley,B
6900,Jac-Cen-Del Community Sch Corp,Ripley,B
6910,Milan Community Schools,Ripley,B
6995,Rush County Schools,Rush,B
7150,John Glenn School Corporation,St Joseph,B
7175,Penn-Harris-Madison School Corp,St Joseph,A
7200,School City of Mishawaka,St Joseph,C
7205,South Bend Community School Corp,St Joseph,D
7215,Union-North United School Corp,St Joseph,C
7230,Scott County School District 1,Scott,C
7255,Scott County School District 2,Scott,B
7285,Shelby Eastern Schools,Shelby,B
