Corp ID,Corporation Name,2016-17 Grade,2015-16 Grade
5330,M S D Lawrence Township,C,C
5340,Perry Township Schools,B,B
5350,M S D Pike Township,C,C
5360,M S D Warren Township,D,C
5370,M S D Washington Township,C,C
5375,M S D Wayne Township,C,C
5380,Beech Grove City Schools,C,C
5385,Indianapolis Public Schools,D,D
5400,School Town of Speedway,A,A
5455,Culver Community Schools Corp,C,C
5470,Argos Community Schools,B,C
5480,Bremen Public Schools,B,B
5485,Plymouth Community School Corp,B,B
5495,Triton School Corporation,A,B
5520,Shoals Community School Corp,C,C
5525,Loogootee Community Sch Corp,B,B
5615,Maconaquah School Corp,B,C
5620,North Miami Community Schools,B,C
5625,Oak Hill United School Corp,C,C
5635,Peru Community Schools,B,B
5705,Richland-Bean Blossom C S C,A,A
5740,Monroe County Community Sch Corp,A,B
5835,North Montgomery Com Sch Corp,B,B
5845,South Montgomery Com Sch Corp,B,B
5855,Crawfordsville Community Schools,B,B
5900,Monroe-Gregg School District,B,C
5910,Eminence Community School Corp,C,C
5925,M S D Martinsville Schools,B,B
5930,Mooresville Con School Corp,B,B
5945,North Newton School Corp,C,C
5995,South Newton School Corp,C,B
6055,Central Noble Com School Corp,C,C
6060,East Noble School Corporation,B,B
6065,West Noble School Corporation,B,B
6080,Rising Sun-Ohio Co Com,B,C
6145,Orleans Community Schools,B,B
6155,Paoli Community School Corp,C,C
6160,Springs Valley Com School Corp,B,C
6195,Spencer-Owen Community Schools,C,B
6260,Southwest Parke Com Sch Corp,C,C
6325,Perry Central Com Schools Corp,A,B
6340,Cannelton City Schools,F,B
6350,Tell City-Troy Twp School Corp,A,B
6375,North Central Parke Comm Schl Corp,B,C
6445,Pike County School Corp,C,B
6460,M S D Boone Township,B,B
6470,Duneland School Corporation,A,B
6510,East Porter County School Corp,A,B
6520,Porter Township School Corp,B,B
6530,Union Township School Corp,A,B
6550,Portage Township Schools,B,B
6560,Valparaiso Community Schools,A,B
6590,M S D Mount Vernon,A,A
6600,M S D North Posey Co Schools,A,A
6620,Eastern Pulaski Community Sch Corp,B,B
6630,West Central School Corp,C,C
6705,South Putnam Community Schools,B,C
6715,North Putnam Community Schools,B,B
6750,Cloverdale Community Schools,B,B
6755,Greencastle Community School Corp,B,C
6795,Union School Corporation,D,C
6805,Randolph Southern School Corp,C,B
6820,Monroe Central School Corp,B,B
6825,Randolph Central School Corp,B,B
6835,Randolph Eastern School Corp,C,C
6865,South Ripley Com Sch Corp,B,B
6895,Batesville Community School Corp,A,B
6900,Jac-Cen-Del Community Sch Corp,B,B
6910,Milan Community Schools,B,B
6995,Rush County Schools,B,B
7150,John Glenn School Corporation,B,B
7175,Penn-Harris-Madison School Corp,A,A
7200,School City of Mishawaka,C,C
7205,South Bend Community School Corp,C,D
7215,Union-North United School Corp,B,C
7230,Scott County School District 1,C,C
7255,Scott County School District 2,B,B
7285,Shelby Eastern Schools,B,B
7350,Northwestern Con School Corp,B,B
7360,Southwestern Con Sch Shelby Co,A,A
7365,Shelbyville Central Schools,B,B
7385,North Spencer County Sch Corp,A,A
7445,South Spencer County Sch Corp,B,B
7495,Oregon-Davis School Corp,C,C
7515,North Judson-San Pierre Sch Corp,B,C
7525,Knox Community School Corp,B,C
7605,Fremont Community Schools,B,B
7610,Hamilton Community Schools,C,C
7615,M S D Steuben County,B,B
7645,Northeast School Corp,B,C
7715,Southwest School Corporation,B,B
7775,Switzerland County School Corp,C,B
7855,Lafayette School Corporation,C,C
7865,Tippecanoe School Corp,B,B
7875,West Lafayette Com School Corp,A,A
7935,Tri-Central Community Schools,B,C
7945,Tipton Community School Corp,B,B
7950,Union Co/Clg Corner Joint Sch Dist,B,B
7995,Evansville Vanderburgh School Corp,C,C
8010,North Vermillion Com Sch Corp,C,C
8020,South Vermillion Com Sch Corp,B,C
8030,Vigo County School Corp,B,B
8045,Manchester Community Schools,B,B
8050,M S D Wabash County Schools,B,B
8060,Wabash City Schools,C,C
8115,M S D Warren County,B,B
8130,Warrick County School Corp,A,A
8205,Salem Community Schools,B,C
8215,East Washington School Corp,B,B
8220,West Washington School Corp,C,B
8305,Nettle Creek School Corporation,B,B
8355,Western Wayne Schools,C,D
8360,Centerville-Abington Com Schs,B,B
8375,Northeastern Wayne Schools,B,B
8385,Richmond Community Schools,C,C
8425,Southern Wells Com Schools,B,B
8435,Northern Wells Community Schools,B,B
8445,M S D Bluffton-Harrison,B,C
8515,North White School Corp,B,B
8525,Frontier School Corporation,A,B
8535,Tri-County School Corporation,B,B
8565,Twin Lakes School Corp,B,C
8625,Smith-Green Community Schools,B,B
8665,Whitley County Con Schools,B,B
