State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,2550,Danville Community School Corporation,"15,884",3016,147
IN,18,1590,DeKalb County Central United School District,"24,839",4239,570
IN,18,3060,DeKalb County Eastern Community School District,"8,066",1535,224
IN,18,2610,Decatur County Community Schools,"12,370",2261,269
IN,18,2640,Decatur Township Metropolitan School District,"34,566",7302,1110
IN,18,2660,Delaware Community School Corporation,"14,556",2433,309
IN,18,2700,Delphi Community School Corporation,"9,689",1596,179
IN,18,2800,Duneland School Corporation,"35,898",6253,357
IN,18,2850,East Allen County Schools,"70,884",14484,1681
IN,18,2940,East Gibson School Corporation,"6,865",1098,134
IN,18,2970,East Noble School Corporation,"23,264",3889,401
IN,18,9000,East Porter County School Corporation,"13,388",2278,81
IN,18,3000,East Washington School Corporation,"9,642",1763,300
IN,18,3030,Eastbrook Community School Corporation,"10,067",1530,232
IN,18,3090,Eastern Greene County School District,"7,776",1386,246
IN,18,3120,Eastern Hancock County Community School Corporation,"6,442",1146,68
IN,18,3150,Eastern Howard School Corporation,"6,467",1214,73
IN,18,7110,Eastern Pulaski Community School Corporation,"6,910",1118,161
IN,18,3240,Edinburgh Community School Corporation,"5,579",912,107
IN,18,3270,Elkhart Community Schools,"79,002",14766,2301
IN,18,3300,Elwood Community School Corporation,"9,922",1620,255
IN,18,3330,Eminence Community School Corporation,"2,992",500,40
IN,18,3450,Evansville-Vanderburgh School Corporation,"181,451",28247,4516
IN,18,3480,Fairfield Community Schools,"12,400",3014,173
IN,18,3510,Fayette County School Corporation,"23,102",3704,573
IN,18,3570,Flat Rock-Hawcreek School Corporation,"5,971",1081,149
IN,18,3630,Fort Wayne Community Schools,"229,248",39358,6175
IN,18,3660,Frankfort Community Schools,"17,766",3395,583
IN,18,3690,Franklin Community School Corporation,"33,789",5910,509
IN,18,3700,Franklin County Community School Corporation,"17,160",2828,355
IN,18,3750,Franklin Township Community School Corporation,"56,530",11607,803
IN,18,12880,Frankton-Lapel Community Schools,"12,065",2160,177
IN,18,3780,Fremont Community Schools,"7,132",1003,84
IN,18,3810,Frontier School Corporation,"4,007",735,56
IN,18,3840,Garrett-Keyser-Butler Community Schools,"9,651",1784,253
IN,18,3870,Gary Community School Corporation,"73,633",13726,5121
IN,18,3930,Goshen Community Schools,"38,117",7017,807
IN,18,3940,Greater Clark County Schools,"79,580",12561,1678
IN,18,3960,Greater Jasper Consolidated Schools,"19,933",3499,240
IN,18,3990,Greencastle Community School Corporation,"14,023",1930,247
IN,18,4050,Greenfield-Central Community Schools,"30,656",4991,328
IN,18,4080,Greensburg Community Schools,"14,525",2431,304
IN,18,4110,Greenwood Community School Corporation,"27,718",4593,377
IN,18,4170,Griffith Public Schools,"16,461",2693,327
IN,18,4230,Hamilton Community Schools,"4,407",656,89
IN,18,4260,Hamilton Heights School Corporation,"15,835",2780,159
IN,18,10650,Hamilton Southeastern Schools,"110,928",23488,848
IN,18,4320,Hammond School City,"79,456",14442,3288
IN,18,4350,Hanover Community School Corporation,"12,164",2109,104
IN,18,4560,Highland School Town,"23,233",3361,303
IN,18,4590,Hobart School City,"23,483",3726,455
IN,18,4710,Huntington County Community School Corporation,"36,520",5824,645
IN,18,4770,Indianapolis Public Schools,"316,275",51123,13567
IN,18,4800,Jac-Cen-Del Community School Corporation,"5,015",825,126
IN,18,4980,Jay School Corporation,"20,436",3728,644
IN,18,5190,Jennings County Schools,"27,735",4748,714
IN,18,9120,John Glenn School Corporation,"9,991",1857,173
IN,18,5280,Kankakee Valley School Corporation,"20,211",3652,323
IN,18,5340,Knox Community School Corporation,"10,894",1865,303
IN,18,5370,Kokomo-Center Township Consolidated School Corporation,"45,116",6992,1482
IN,18,5580,La Porte Community School Corporation,"38,096",6240,1072
IN,18,5400,Lafayette School Corporation,"63,777",10050,1994
IN,18,5450,Lake Central School Corporation,"65,294",10688,542
IN,18,5460,Lake Ridge Schools,"11,927",1990,523
IN,18,2910,Lake Station Community Schools,"8,399",1405,285
IN,18,5520,Lakeland School Corporation,"15,639",3094,389
IN,18,3720,Lanesville Community School Corporation,"4,232",727,51
IN,18,5670,Lawrence Township Metropolitan School District,"102,228",19297,2456
IN,18,5700,Lawrenceburg Community School Corporation,"10,920",1688,259
IN,18,5790,Lebanon Community School Corporation,"25,868",4195,428
IN,18,5880,Liberty-Perry Community School Corporation,"6,011",986,160
IN,18,5910,Linton-Stockton School Corporation,"8,129",1260,223
IN,18,6030,Logansport Community School Corporation,"23,202",3890,579
IN,18,6060,Loogootee Community School Corporation,"5,770",985,108
IN,18,6090,Maconaquah School Corporation,"14,777",2119,336
IN,18,6120,Madison Consolidated Schools,"22,918",3399,510
IN,18,6240,Madison-Grant United School Corporation,"8,250",1391,191
IN,18,6270,Manchester Community Schools,"9,821",1337,173
IN,18,6390,Marion Community Schools,"34,589",4751,1324
IN,18,6510,Martinsville Schools Metropolitan School District,"31,247",5083,646
IN,18,1230,Medora Community School Corporation,"1,576",299,50
IN,18,9690,Merrillville Community School,"46,355",7354,1129
IN,18,6570,Michigan City Area Schools,"47,808",6955,2260
IN,18,6600,Middlebury Community Schools,"22,881",5346,334
IN,18,6630,Milan Community Schools,"6,099",1105,112
IN,18,6660,Mill Creek Community School Corporation,"10,922",1977,144
IN,18,6840,Mishawaka School City,"30,968",5311,967
IN,18,6870,Mississinewa Community School Corporation,"10,212",1772,240
IN,18,6900,Mitchell Community Schools,"11,820",1900,231
IN,18,7080,Monroe Central School Corporation,"5,330",877,108
IN,18,630,Monroe County Community School Corporation,"129,857",13500,1696
IN,18,4140,Monroe-Gregg School District,"8,073",1372,94
IN,18,7140,Mooresville Consolidated School Corporation,"24,660",4268,459
IN,18,7230,Mount Pleasant Township Community School Corporation,"13,676",2271,272
IN,18,7260,Mount Vernon Community School Corporation,"21,673",3927,170
IN,18,7290,Mount Vernon Metropolitan School District,"15,605",2605,264
IN,18,7320,Muncie Community Schools,"67,122",7527,2340
IN,18,7350,Munster School Town,"23,070",4035,201
IN,18,7380,Nettle Creek School Corporation,"6,797",1277,168
IN,18,7410,New Albany-Floyd County Consolidated Schools,"78,522",13071,1706
IN,18,7440,New Castle Community School Corporation,"22,635",3524,548
IN,18,7470,New Durham Township Metropolitan School District,"8,540",878,125
IN,18,7560,New Prairie United School Corporation,"15,265",2706,341
IN,18,7620,Nineveh-Hensley-Jackson United School Corporation,"11,421",2014,146
IN,18,7650,Noblesville Schools,"62,249",11615,583
IN,18,7680,North Adams Community Schools,"15,705",2751,292
IN,18,118,North Central Parke Community School Corporation,"11,067",1620,385
IN,18,7710,North Daviess Community Schools,"9,346",2275,278
IN,18,7770,North Gibson School Corporation,"14,416",2483,324
IN,18,690,North Harrison Community School Corporation,"14,144",2441,250
IN,18,7800,North Judson-San Pierre School Corporation,"7,330",1261,185
IN,18,7830,North Knox School Corporation,"8,418",1398,197
IN,18,7860,North Lawrence Community Schools,"33,550",5304,725
IN,18,7890,North Miami Community Schools,"5,866",1032,102
IN,18,7900,North Montgomery Community School Corporation,"12,087",2163,216
IN,18,7920,North Newton School Corporation,"9,064",1401,128
IN,18,7950,North Posey County Schools Metropolitan School District,"9,822",1582,91
IN,18,7980,North Putnam Community Schools,"10,120",1715,187
IN,18,8010,North Spencer County School Corporation,"11,656",1866,143
IN,18,8070,North Vermillion Community School Corporation,"4,288",687,120
IN,18,8100,North West Hendricks Schools,"11,270",2250,78
IN,18,8130,North White School Corporation,"5,946",951,166
IN,18,8120,Northeast Dubois County School Corporation,"5,528",998,56
IN,18,8160,Northeast School Corporation,"8,354",1287,225
IN,18,8190,Northeastern Wayne Schools,"5,579",1053,194
IN,18,8220,Northern Wells Community Schools,"15,537",2857,239
IN,18,8250,Northwest Allen County Schools,"37,432",7921,259
IN,18,8310,Northwestern Consolidated School Corporation,"7,737",1405,158
IN,18,2040,Northwestern School Corporation,"8,676",1577,145
IN,18,8340,Oak Hill United School Corporation,"7,366",1263,142
IN,18,8460,Oregon-Davis School Corporation,"4,341",700,96
IN,18,8490,Orleans Community Schools,"4,723",832,162
IN,18,8640,Paoli Community School Corporation,"9,223",1526,344
IN,18,8760,Penn-Harris-Madison School Corporation,"62,280",11873,985
IN,18,1740,Perry Central Community School Corporation,"7,292",1090,97
IN,18,8820,Perry Township Metropolitan School District,"100,244",16747,2023
IN,18,8850,Peru Community Schools,"12,991",2110,409
IN,18,8900,Pike County School Corporation,"12,389",1986,209
IN,18,8910,Pike Township Metropolitan School District,"78,537",13898,2001
IN,18,8940,Pioneer Regional School Corporation,"5,035",862,84
IN,18,8970,Plainfield Community School Corporation,"32,631",5246,291
IN,18,9060,Plymouth Community School Corporation,"19,250",3403,468
IN,18,9150,Portage Township Schools,"48,833",8372,865
IN,18,9180,Porter Township School Corporation,"9,653",1544,79
IN,18,9300,Prairie Heights Community School Corporation,"9,998",1581,146
IN,18,1770,Randolph Central School Corporation,"9,318",1493,252
IN,18,3180,Randolph Eastern School Corporation,"4,929",850,157
IN,18,10740,Randolph Southern School Corporation,"3,067",528,84
IN,18,9420,Rensselaer Central School Corporation,"10,745",1750,184
IN,18,9480,Richland-Bean Blossom Community School Corporation,"18,574",3268,350
IN,18,9510,Richmond Community School Corporation,"40,201",5856,1201
IN,18,9600,Rising Sun-Ohio County Community Schools,"5,875",844,109
IN,18,4620,River Forest Community School Corporation,"7,290",1256,324
IN,18,9630,Rochester Community School Corporation,"11,208",1838,233
IN,18,9720,Rossville Consolidated School District,"5,008",1035,81
IN,18,9750,Rush County Schools,"14,525",2459,325
IN,18,9810,Salem Community Schools,"12,724",2028,343
IN,18,9990,Scott County School District 1,"6,568",1172,266
IN,18,10020,Scott County School District 2,"17,305",2805,403
IN,18,10080,Seymour Community Schools,"28,271",5006,577
IN,18,10110,Shakamak Schools Metropolitan School District,"5,204",867,171
IN,18,3210,Shelby Eastern Schools,"8,513",1374,101
IN,18,10140,Shelbyville Central Schools,"23,738",3864,519
IN,18,8280,Shenandoah School Corporation,"7,254",1257,133
IN,18,6480,Sheridan Community Schools,"7,458",1328,115
IN,18,10170,Shoals Community School Corporation,"4,485",695,104
IN,18,10230,Smith-Green Community Schools,"7,543",1304,122
IN,18,10260,South Adams Schools,"10,960",2611,761
IN,18,10290,South Bend Community School Corporation,"163,039",26273,6490
IN,18,2190,South Central Community School Corporation,"4,038",720,95
IN,18,240,South Dearborn Community School Corporation,"17,196",2814,466
IN,18,10350,South Gibson School Corporation,"12,378",2338,168
IN,18,10360,South Harrison Community Schools,"21,755",3443,407
IN,18,10380,South Henry School Corporation,"4,319",711,57
IN,18,10410,South Knox School Corporation,"5,888",1101,102
IN,18,10440,South Madison Community School Corporation,"25,715",4518,309
IN,18,10450,South Montgomery Community School Corporation,"10,592",1923,259
IN,18,10470,South Newton School Corporation,"5,099",787,117
IN,18,10500,South Putnam Community Schools,"9,543",1184,129
IN,18,10530,South Ripley Community School Corporation,"7,558",1192,164
IN,18,10560,South Spencer County School Corporation,"8,621",1445,176
IN,18,10590,South Vermillion Community School Corporation,"11,210",1871,253
IN,18,10640,Southeast Dubois County School Corporation,"7,437",1308,64
IN,18,10620,Southeast Fountain School Corporation,"6,739",1090,149
IN,18,10680,Southeastern School Corporation,"8,178",1368,133
IN,18,10710,Southern Hancock County Community School Corporation,"19,397",3538,127
IN,18,10770,Southern Wells Community Schools,"4,033",790,48
IN,18,30,Southwest Allen County Metropolitan School District,"41,735",8606,287
IN,18,10870,Southwest Dubois County School Corporation,"9,838",1745,132
IN,18,10900,Southwest Parke Community School Corporation,"5,152",893,140
IN,18,10860,Southwest School Corporation,"12,315",1586,241
IN,18,10800,Southwestern Jefferson County Consolidated Schools,"9,390",1322,191
IN,18,10830,Southwestern Shelby County Consolidated Schools,"4,405",782,64
IN,18,10920,Speedway School Town,"12,624",1842,264
IN,18,10950,Spencer-Owen Community Schools,"17,327",2721,428
IN,18,10980,Springs Valley Community School Corporation,"5,700",900,158
IN,18,11100,Steuben County Metropolitan School District,"18,293",2720,307
IN,18,11190,Sunman-Dearborn Community School Corporation,"24,296",4315,292
IN,18,11220,Switzerland County School Corporation,"10,751",2007,422
IN,18,11250,Taylor Community School Corporation,"9,264",1464,217
IN,18,11260,Tell City-Troy Township School Corporation,"10,328",1583,216
IN,18,11340,Tippecanoe School Corporation,"101,325",15979,1460
IN,18,11370,Tippecanoe Valley School Corporation,"11,734",2085,203
IN,18,11400,Tipton Community School Corporation,"10,357",1537,136
IN,18,8040,Tipton County Northern Community School Corporation,"4,791",736,48
IN,18,11430,Tri-County School Corporation,"4,258",775,96
IN,18,11460,Tri-Creek School Corporation,"20,130",3568,248
IN,18,107,Tri-Township Consolidated School Corporation,"2,936",449,66
IN,18,11490,Triton School Corporation,"5,929",1177,106
IN,18,11580,Twin Lakes School Corporation,"14,435",2350,271
IN,18,11610,Union County-College Corner Joint School District,"7,419",1142,139
IN,18,11730,Union School Corporation,"2,817",463,78
IN,18,11700,Union Township School Corporation,"9,141",1627,58
IN,18,11910,Union-North United School Corporation,"8,006",1434,187
IN,18,11970,Valparaiso Community Schools,"44,884",6687,408
IN,18,12090,Vigo County School Corporation,"107,038",15760,3465
IN,18,12120,Vincennes Community School Corporation,"22,288",3253,592
IN,18,12240,Wa-Nee Community Schools,"20,471",4504,414
IN,18,12150,Wabash City Schools,"8,724",1316,205
IN,18,12180,Wabash County Schools Metropolitan School District,"12,451",2110,191
IN,18,6080,Warren County Metropolitan School District,"7,163",1165,140
IN,18,12360,Warren Township Metropolitan School District,"68,153",13553,2535
IN,18,12390,Warrick County School Corporation,"62,998",11287,768
IN,18,12420,Warsaw Community Schools,"41,328",7071,726
IN,18,12450,Washington Community School Corporation,"18,248",3342,661
IN,18,12720,Washington Township Metropolitan School District,"93,921",13865,1910
IN,18,5550,Wawasee Community School Corporation,"20,394",3265,293
IN,18,12810,Wayne Township Metropolitan School District,"86,708",15346,2842
IN,18,4500,Wes-Del Community Schools,"5,245",775,117
IN,18,9360,West Central School Corporation,"4,409",790,118
IN,18,9370,West Clark Community Schools,"28,943",5022,409
IN,18,12870,West Lafayette Community School Corporation,"28,455",2484,199
IN,18,12900,West Noble School Corporation,"13,008",2667,260
IN,18,12930,West Washington School Corporation,"5,670",1021,138
IN,18,12990,Western Boone County Community School Corporation,"11,285",2074,149
IN,18,4470,Western School Corporation,"13,021",2532,208
IN,18,13050,Western Wayne Schools,"5,815",1012,115
IN,18,13080,Westfield-Washington Schools,"40,484",8270,390
IN,18,13110,Westview School Corporation,"20,189",5542,535
IN,18,8,White River Valley School District,"5,564",863,138
IN,18,13200,Whiting School City,"4,534",810,119
IN,18,13230,Whitko Community School Corporation,"10,801",1933,248
IN,18,2280,Whitley County Consolidated Schools,"23,308",3879,293
IN,18,2830,Zionsville Community Schools,"29,213",6777,125
