State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,60,Adams Central Community Schools,"9,112",2547,587
IN,18,120,Alexandria Community School Corporation,"8,643",1455,242
IN,18,150,Anderson Community School Corporation,"70,391",10351,2101
IN,18,180,Argos Community Schools,"3,785",700,107
IN,18,210,Attica Consolidated School Corporation,"4,760",786,128
IN,18,270,Avon Community School Corporation,"52,403",10397,470
IN,18,330,Barr-Reeve Community School Corporation,"5,757",1482,185
IN,18,360,Bartholomew County School Corporation,"77,556",13342,2163
IN,18,390,Batesville Community School Corporation,"11,931",2194,186
IN,18,420,Baugo Community Schools,"9,850",2016,160
IN,18,450,Beech Grove City Schools,"14,796",2691,526
IN,18,480,Benton Community School Corporation,"11,187",2146,221
IN,18,570,Blackford County Schools,"11,758",1887,309
IN,18,600,Bloomfield School District,"6,672",1030,164
IN,18,660,Blue River Valley Schools,"6,535",708,109
IN,18,720,Bluffton-Harrison Metropolitan School District,"8,726",1557,179
IN,18,750,Boone Township Metropolitan School District,"6,388",1060,69
IN,18,900,Bremen Public Schools,"8,752",1784,122
IN,18,960,Brown County County School Corporation,"15,092",2001,256
IN,18,1020,Brownsburg Community School Corporation,"47,201",9387,345
IN,18,1050,Brownstown Central Community School Corporation,"10,820",1932,182
IN,18,1060,C. A. Beard Memorial School Corporation,"7,831",1310,163
IN,18,1170,Cannelton City Schools,"1,549",266,74
IN,18,1200,Carmel Clay Schools,"102,534",21044,593
IN,18,1290,Carroll Consolidated School Corporation,"6,601",1080,93
IN,18,1410,Caston School Corporation,"4,448",763,77
IN,18,1440,Center Grove Community School Corporation,"46,018",9090,309
IN,18,1560,Centerville-Abington Community Schools,"8,150",1565,219
IN,18,1710,Central Noble Community School Corporation,"8,781",1415,121
IN,18,2880,City of East Chicago School District,"29,062",5789,1995
IN,18,1890,Clark-Pleasant Community School Corporation,"36,546",6979,506
IN,18,1920,Clarksville Community School Corporation,"9,779",1442,201
IN,18,840,Clay Community Schools,"25,520",4260,600
IN,18,2130,Clinton Central School Corporation,"5,229",1043,131
IN,18,2160,Clinton Prairie School Corporation,"5,670",965,94
IN,18,2220,Cloverdale Community Schools,"7,362",1142,185
IN,18,2400,Concord Community Schools,"26,809",5089,549
IN,18,2430,Covington Community School Corporation,"5,251",822,75
IN,18,7020,Cowan Community School Corporation,"3,617",610,53
IN,18,2440,Crawford County Community School Corporation,"10,961",1765,386
IN,18,2460,Crawfordsville Community Schools,"15,659",2371,491
IN,18,12060,Crothersville Community Schools,"3,564",579,80
IN,18,2490,Crown Point Community School Corporation,"41,002",7154,410
IN,18,2520,Culver Community Schools Corporation,"6,842",1110,161
IN,18,9840,Daleville Community Schools,"3,908",621,90
