Corp ID,Corporate Name,Corp Grade 2015
2645,Rochester Community School Corporation,C
1180,Rossville Consolidated School District,C
6995,Rush County Schools,C
8205,Salem Community Schools,D
4670,School City of East Chicago,F
4710,School City of Hammond,D
4730,School City of Hobart,C
7200,School City of Mishawaka,D
4760,School City of Whiting,C
4720,School Town of Highland,A
4740,School Town of Munster,A
7230,Scott County School District 1,F
7255,Scott County School District 2,D
3675,Seymour Community Schools,D
2960,Shakamak Schools Metropolitan School District,D
7285,Shelby Eastern Schools,D
7365,Shelbyville Central Schools,B
3435,Shenandoah School Corporation,A
3055,Sheridan Community Schools,C
5520,Shoals Community School Corporation,D
8625,Smith-Green Community Schools,C
35,South Adams Schools,C
7205,South Bend Community School Corporation,F
4940,South Central Community School Corporation,B
1600,South Dearborn Community School Corporation,C
2765,South Gibson School Corporation,C
3190,South Harrison Community Schools,C
3415,South Henry School Corporation,D
4325,South Knox School Corporation,A
5255,South Madison Community School Corporation,B
5845,South Montgomery Community School Corporation,C
5995,South Newton School Corporation,C
6705,South Putnam Community Schools,C
6865,South Ripley Community School Corporation,A
7445,South Spencer County School Corporation,C
8020,South Vermillion Community School Corporation,C
2100,Southeast Dubois County School Corporation,B
2455,Southeast Fountain School Corporation,C
3115,Southern Hancock County Community School Corporation,B
8425,Southern Wells Community Schools,D
2110,Southwest Dubois County School Corporation,C
6260,Southwest Parke Community School Corporation,F
7715,Southwest School Corporation,A
6195,Spencer-Owen Community Schools,C
6160,Springs Valley Community School Corporation,C
7615,Steuben County Metropolitan School District,C
1560,Sunman-Dearborn Community School Corporation,C
7775,Switzerland County School Corporation,D
3460,Taylor Community School Corporation,C
7865,Tippecanoe School Corporation,C
4445,Tippecanoe Valley School Corporation,D
7945,Tipton Community School Corporation,D
8535,Tri-County School Corporation,D
4645,Tri-Creek School Corporation,B
5495,Triton School Corporation,C
8565,Twin Lakes School Corporation,D
6795,Union School Corporation,D
6530,Union Township School Corporation,B
7215,Union-North United School Corporation,D
6560,Valparaiso Community Schools,B
8030,Vigo County School Corporation,C
4335,Vincennes Community School Corporation,C
2285,Wa-Nee Community Schools,A
8060,Wabash City Schools,D
8050,Wabash County Schools Metropolitan School District,D
8115,Warren County Metropolitan School District,B
5360,Warren Township Metropolitan School District,D
8130,Warrick County School Corporation,A
4415,Warsaw Community Schools,B
5370,Washington Township Metropolitan School District,C
4345,Wawasee Community School Corporation,C
5375,Wayne Township Metropolitan School District,F
1885,Wes-Del Community Schools,D
6630,West Central School Corporation,D
940,West Clark Community Schools,D
7875,West Lafayette Community School Corporation,A
6065,West Noble School Corporation,C
8220,West Washington School Corporation,D
3490,Western School Corporation,B
8355,Western Wayne Schools,D
3030,Westfield-Washington Schools,B
4525,Westview School Corporation,A
2980,White River Valley School District,C
4455,Whitko Community School Corporation,D
8665,Whitley County Consolidated Schools,B
630,Zionsville Community Schools,A
