Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
15,Adams Central Community Schools,99,98,98.99%,95,95.96%
5265,Alexandria Community School Corporation,94,90,95.74%,73,77.66%
5275,Anderson Community School Corporation,457,367,80.31%,327,71.55%
5470,Argos Community Schools,56,48,85.71%,43,76.79%
2435,Attica Consolidated School Corporation,50,49,98.00%,48,96.00%
3315,Avon Community School Corporation,828,801,96.74%,756,91.30%
1315,Barr-Reeve Community School Corporation,44,44,100.00%,43,97.73%
365,Bartholomew Consolidated School Corporation,934,807,86.40%,669,71.63%
6895,Batesville Community School Corporation,193,177,91.71%,170,88.08%
2260,Baugo Community Schools,144,132,91.67%,122,84.72%
5380,Beech Grove City Schools,227,180,79.30%,165,72.69%
395,Benton Community School Corporation,117,111,94.87%,107,91.45%
515,Blackford County Schools,129,121,93.80%,120,93.02%
2920,Bloomfield School District,47,46,97.87%,45,95.74%
3405,Blue River Valley Schools,41,38,92.68%,33,80.49%
8445,Bluffton-Harrison Metropolitan School District,106,104,98.11%,104,98.11%
6460,Boone Township Metropolitan School District,100,98,98.00%,93,93.00%
5480,Bremen Public Schools,126,117,92.86%,115,91.27%
670,Brown County School Corporation,144,139,96.53%,122,84.72%
3305,Brownsburg Community School Corporation,660,654,99.09%,635,96.21%
3695,Brownstown Central Community School Corporation,133,130,97.74%,126,94.74%
3455,C. A. Beard Memorial School Corporation,95,85,89.47%,76,80.00%
6340,Cannelton City Schools,40,25,62.50%,7,17.50%
3060,Carmel Clay Schools,1284,1253,97.59%,1213,94.47%
750,Carroll Consolidated School Corporation,84,78,92.86%,74,88.10%
2650,Caston School Corporation,46,41,89.13%,35,76.09%
4205,Center Grove Community School Corporation,582,558,95.88%,528,90.72%
8360,Centerville-Abington Community Schools,116,108,93.10%,106,91.38%
6055,Central Noble Community School Corporation,111,100,90.09%,91,81.98%
4145,Clark-Pleasant Community School Corporation,464,419,90.30%,338,72.84%
1000,Clarksville Community School Corporation,92,89,96.74%,72,78.26%
1125,Clay Community Schools,271,245,90.41%,220,81.18%
1150,Clinton Central School Corporation,67,59,88.06%,59,88.06%
1160,Clinton Prairie School Corporation,87,80,91.95%,76,87.36%
6750,Cloverdale Community Schools,89,87,97.75%,86,96.63%
2270,Concord Community Schools,405,363,89.63%,275,67.90%
2440,Covington Community School Corporation,69,66,95.65%,66,95.65%
1900,Cowan Community School Corporation,57,55,96.49%,54,94.74%
1300,Crawford County Community School Corporation,103,80,77.67%,72,69.90%
5855,Crawfordsville Community Schools,186,158,84.95%,118,63.44%
3710,Crothersville Community Schools,24,22,91.67%,20,83.33%
4660,Crown Point Community School Corporation,723,706,97.65%,630,87.14%
5455,Culver Community Schools Corporation,66,60,90.91%,58,87.88%
1940,Daleville Community Schools,64,60,93.75%,55,85.94%
3325,Danville Community School Corporation,204,193,94.61%,191,93.63%
1655,Decatur County Community Schools,148,141,95.27%,118,79.73%
5300,Decatur Township Metropolitan School District,521,447,85.80%,363,69.67%
1835,DeKalb County Central United School District,290,248,85.52%,222,76.55%
1805,DeKalb County Eastern Community School District,91,88,96.70%,83,91.21%
1875,Delaware Community School Corporation,216,197,91.20%,185,85.65%
755,Delphi Community School Corporation,92,84,91.30%,79,85.87%
6470,Duneland School Corporation,482,447,92.74%,369,76.56%
255,East Allen County Schools,818,739,90.34%,679,83.01%
2725,East Gibson School Corporation,69,57,82.61%,53,76.81%
6060,East Noble School Corporation,298,264,88.59%,261,87.58%
6510,East Porter County School Corporation,203,199,98.03%,192,94.58%
8215,East Washington School Corporation,116,99,85.34%,84,72.41%
2815,Eastbrook Community School Corporation,149,143,95.97%,124,83.22%
2940,Eastern Greene County School District,93,89,95.70%,78,83.87%
3145,Eastern Hancock County Community School Corporation,87,84,96.55%,72,82.76%
3480,Eastern Howard School Corporation,104,103,99.04%,98,94.23%
6620,Eastern Pulaski Community School Corporation,92,86,93.48%,51,55.43%
4215,Edinburgh Community School Corporation,57,56,98.25%,39,68.42%
2305,Elkhart Community Schools,854,740,86.65%,648,75.88%
5280,Elwood Community School Corporation,107,97,90.65%,81,75.70%
5910,Eminence Community School Corporation,37,34,91.89%,34,91.89%
7995,Evansville Vanderburgh School Corporation,1671,1355,81.09%,988,59.13%
2155,Fairfield Community Schools,135,125,92.59%,116,85.93%
2395,Fayette County School Corporation,260,237,91.15%,209,80.38%
370,Flat Rock-Hawcreek School Corporation,73,63,86.30%,52,71.23%
235,Fort Wayne Community Schools,2054,1762,85.78%,1556,75.75%
1170,Frankfort Community Schools,261,237,90.80%,220,84.29%
4225,Franklin Community School Corporation,385,335,87.01%,261,67.79%
2475,Franklin County Community School Corporation,202,178,88.12%,148,73.27%
5310,Franklin Township Community School Corporation,621,606,97.58%,582,93.72%
5245,Frankton-Lapel Community Schools,246,224,91.06%,149,60.57%
7605,Fremont Community Schools,76,67,88.16%,57,75.00%
8525,Frontier School Corporation,50,46,92.00%,35,70.00%
1820,Garrett-Keyser-Butler Community School Corporation,151,141,93.38%,125,82.78%
4690,Gary Community School Corporation,282,165,58.51%,120,42.55%
2315,Goshen Community Schools,442,412,93.21%,344,77.83%
1010,Greater Clark County Schools,750,704,93.87%,668,89.07%
2120,Greater Jasper Consolidated Schools,271,259,95.57%,247,91.14%
6755,Greencastle Community School Corporation,143,134,93.71%,127,88.81%
3125,Greenfield-Central Community Schools,389,363,93.32%,329,84.58%
1730,Greensburg Community Schools,157,151,96.18%,141,89.81%
4245,Greenwood Community School Corporation,288,266,92.36%,248,86.11%
4700,Griffith Public Schools,222,188,84.68%,105,47.30%
7610,Hamilton Community Schools,27,27,100.00%,27,100.00%
3025,Hamilton Heights School Corporation,166,158,95.18%,155,93.37%
