Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
3005,Hamilton Southeastern Schools,1582,1518,95.95%,1449,91.59%
4580,Hanover Community School Corporation,181,166,91.71%,162,89.50%
3625,Huntington County Community School Corporation,317,300,94.64%,267,84.23%
5385,Indianapolis Public Schools,1391,1146,82.39%,1111,79.87%
6900,Jac-Cen-Del Community School Corporation,68,62,91.18%,59,86.76%
3945,Jay School Corporation,248,224,90.32%,198,79.84%
4015,Jennings County School Corporation,243,233,95.88%,219,90.12%
7150,John Glenn School Corporation,137,130,94.89%,126,91.97%
3785,Kankakee Valley School Corporation,236,222,94.07%,212,89.83%
7525,Knox Community School Corporation,143,135,94.41%,127,88.81%
3500,Kokomo School Corporation,405,385,95.06%,346,85.43%
7855,Lafayette School Corporation,460,369,80.22%,273,59.35%
4615,Lake Central School Corporation,805,768,95.40%,706,87.70%
4650,Lake Ridge New Tech Schools,143,143,100.00%,137,95.80%
4680,Lake Station Community Schools,82,72,87.80%,58,70.73%
4535,Lakeland School Corporation,146,122,83.56%,116,79.45%
3160,Lanesville Community School Corporation,62,59,95.16%,57,91.94%
4945,LaPorte Community School Corporation,456,392,85.96%,375,82.24%
5330,Lawrence Township Metropolitan School District,1274,1181,92.70%,879,69.00%
1620,Lawrenceburg Community School Corporation,160,150,93.75%,97,60.63%
665,Lebanon Community School Corporation,266,220,82.71%,210,78.95%
1895,Liberty-Perry Community School Corporation,101,90,89.11%,79,78.22%
2950,Linton-Stockton School Corporation,89,87,97.75%,86,96.63%
875,Logansport Community School Corporation,265,240,90.57%,217,81.89%
5525,Loogootee Community School Corporation,69,66,95.65%,45,65.22%
5615,Maconaquah School Corporation,150,140,93.33%,104,69.33%
3995,Madison Consolidated Schools,243,209,86.01%,201,82.72%
2825,Madison-Grant United School Corporation,95,91,95.79%,78,82.11%
8045,Manchester Community Schools,129,123,95.35%,120,93.02%
2865,Marion Community Schools,272,253,93.01%,188,69.12%
5925,Martinsville Schools Metropolitan School District,351,328,93.45%,301,85.75%
3640,Medora Community School Corporation,20,16,80.00%,6,30.00%
4925,Michigan City Area Schools,356,336,94.38%,297,83.43%
2275,Middlebury Community Schools,356,322,90.45%,299,83.99%
6910,Milan Community Schools,114,103,90.35%,93,81.58%
3335,Mill Creek Community School Corporation,104,101,97.12%,99,95.19%
2855,Mississinewa Community School Corporation,196,177,90.31%,141,71.94%
5085,Mitchell Community Schools,130,102,78.46%,92,70.77%
6820,Monroe Central School Corporation,102,95,93.14%,94,92.16%
5740,Monroe County Community School Corporation,850,796,93.65%,685,80.59%
5900,Monroe-Gregg School District,138,123,89.13%,104,75.36%
5930,Mooresville Consolidated School Corporation,337,318,94.36%,294,87.24%
6590,Mount Vernon Metropolitan School District,167,150,89.82%,140,83.83%
1970,Muncie Community Schools,309,277,89.64%,227,73.46%
8305,Nettle Creek School Corporation,75,73,97.33%,71,94.67%
3445,New Castle Community School Corporation,228,213,93.42%,141,61.84%
4805,New Prairie United School Corporation,231,223,96.54%,197,85.28%
3070,Noblesville Schools,679,658,96.91%,599,88.22%
25,North Adams Community Schools,173,160,92.49%,146,84.39%
6375,North Central Parke Community School Corporation,86,75,87.21%,71,82.56%
1375,North Daviess Community Schools,77,70,90.91%,64,83.12%
2735,North Gibson School Corporation,138,127,92.03%,100,72.46%
3180,North Harrison Community School Corporation,185,168,90.81%,153,82.70%
7515,North Judson-San Pierre School Corporation,94,85,90.43%,60,63.83%
4315,North Knox School Corporation,94,91,96.81%,83,88.30%
5075,North Lawrence Community Schools,328,290,88.41%,250,76.22%
5620,North Miami Community Schools,66,63,95.45%,57,86.36%
5835,North Montgomery Community School Corporation,155,148,95.48%,142,91.61%
5945,North Newton School Corporation,116,104,89.66%,98,84.48%
6600,North Posey County Schools Metropolitan School District,110,104,94.55%,80,72.73%
6715,North Putnam Community Schools,103,98,95.15%,96,93.20%
7385,North Spencer County School Corporation,154,149,96.75%,142,92.21%
8010,North Vermillion Community School Corporation,51,47,92.16%,47,92.16%
3295,North West Hendricks Schools,144,139,96.53%,133,92.36%
8515,North White School Corporation,60,47,78.33%,44,73.33%
2040,Northeast Dubois County School Corporation,75,70,93.33%,70,93.33%
7645,Northeast School Corporation,80,71,88.75%,61,76.25%
8375,Northeastern Wayne Schools,96,94,97.92%,80,83.33%
8435,Northern Wells Community Schools,187,175,93.58%,164,87.70%
225,Northwest Allen County Schools,583,560,96.05%,547,93.83%
7350,Northwestern Consolidated School Corporation,100,92,92.00%,86,86.00%
3470,Northwestern School Corporation,128,125,97.66%,125,97.66%
5625,Oak Hill United School Corporation,129,118,91.47%,112,86.82%
7495,Oregon-Davis School Corporation,48,37,77.08%,32,66.67%
6145,Orleans Community Schools,63,61,96.83%,61,96.83%
6155,Paoli Community School Corporation,110,98,89.09%,66,60.00%
7175,Penn-Harris-Madison School Corporation,867,844,97.35%,793,91.46%
5635,Peru Community Schools,153,147,96.08%,141,92.16%
6445,Pike County School Corporation,135,126,93.33%,101,74.81%
5350,Pike Township Metropolitan School District,781,686,87.84%,553,70.81%
775,Pioneer Regional School Corporation,83,75,90.36%,75,90.36%
3330,Plainfield Community School Corporation,431,402,93.27%,378,87.70%
5485,Plymouth Community School Corporation,296,273,92.23%,250,84.46%
6550,Portage Township Schools,622,565,90.84%,523,84.08%
6520,Porter Township School Corporation,132,121,91.67%,111,84.09%
4515,Prairie Heights Community School Corporation,97,91,93.81%,89,91.75%
6825,Randolph Central School Corporation,101,93,92.08%,83,82.18%
6835,Randolph Eastern School Corporation,66,64,96.97%,61,92.42%
6805,Randolph Southern School Corporation,46,44,95.65%,34,73.91%
3815,Rensselaer Central School Corporation,122,101,82.79%,85,69.67%
5705,Richland-Bean Blossom Community School Corporation,183,167,91.26%,130,71.04%
4590,River Forest Community School Corporation,131,107,81.68%,74,56.49%
2645,Rochester Community School Corporation,143,135,94.41%,86,60.14%
1180,Rossville Consolidated School District,73,67,91.78%,50,68.49%
6995,Rush County Schools,178,168,94.38%,144,80.90%
8205,Salem Community Schools,128,119,92.97%,110,85.94%
4670,School City of East Chicago,320,233,72.81%,136,42.50%
4710,School City of Hammond,959,780,81.33%,660,68.82%
4730,School City of Hobart,287,251,87.46%,231,80.49%
7200,School City of Mishawaka,358,332,92.74%,248,69.27%
4760,School City of Whiting,117,108,92.31%,104,88.89%
4720,School Town of Highland,284,269,94.72%,218,76.76%
4740,School Town of Munster,374,357,95.45%,345,92.25%
7230,Scott County School District 1,108,81,75.00%,68,62.96%
7255,Scott County School District 2,159,136,85.53%,128,80.50%
3675,Seymour Community Schools,360,337,93.61%,292,81.11%
2960,Shakamak Schools Metropolitan School District,51,51,100.00%,48,94.12%
7285,Shelby Eastern Schools,77,74,96.10%,73,94.81%
7365,Shelbyville Central Schools,285,261,91.58%,158,55.44%
3435,Shenandoah School Corporation,104,93,89.42%,91,87.50%
3055,Sheridan Community Schools,86,76,88.37%,75,87.21%
5520,Shoals Community School Corporation,49,37,75.51%,37,75.51%
8625,Smith-Green Community Schools,87,82,94.25%,78,89.66%
35,South Adams Schools,73,63,86.30%,56,76.71%
7205,South Bend Community School Corporation,1291,958,74.21%,719,55.69%
4940,South Central Community School Corporation,85,81,95.29%,81,95.29%
1600,South Dearborn Community School Corporation,210,204,97.14%,151,71.90%
2765,South Gibson School Corporation,170,155,91.18%,133,78.24%
3190,South Harrison Community Schools,208,192,92.31%,109,52.40%
3415,South Henry School Corporation,58,56,96.55%,55,94.83%
4325,South Knox School Corporation,89,86,96.63%,80,89.89%
5255,South Madison Community School Corporation,330,317,96.06%,305,92.42%
5845,South Montgomery Community School Corporation,119,116,97.48%,110,92.44%
5995,South Newton School Corporation,58,46,79.31%,44,75.86%
6705,South Putnam Community Schools,87,84,96.55%,79,90.80%
6865,South Ripley Community School Corporation,88,79,89.77%,63,71.59%
7445,South Spencer County School Corporation,113,103,91.15%,96,84.96%
8020,South Vermillion Community School Corporation,128,106,82.81%,91,71.09%
2100,Southeast Dubois County School Corporation,83,80,96.39%,77,92.77%
2455,Southeast Fountain School Corporation,82,73,89.02%,70,85.37%
3115,Southern Hancock County Community School Corporation,295,278,94.24%,253,85.76%
8425,Southern Wells Community Schools,67,65,97.01%,62,92.54%
2110,Southwest Dubois County School Corporation,146,136,93.15%,109,74.66%
6260,Southwest Parke Community School Corporation,80,62,77.50%,61,76.25%
7715,Southwest School Corporation,140,136,97.14%,135,96.43%
6195,Spencer-Owen Community Schools,192,178,92.71%,165,85.94%
6160,Springs Valley Community School Corporation,65,61,93.85%,58,89.23%
7615,Steuben County Metropolitan School District,227,182,80.18%,160,70.48%
1560,Sunman-Dearborn Community School Corporation,286,276,96.50%,270,94.41%
7775,Switzerland County School Corporation,92,87,94.57%,78,84.78%
3460,Taylor Community School Corporation,81,73,90.12%,51,62.96%
7865,Tippecanoe School Corporation,840,797,94.88%,701,83.45%
4445,Tippecanoe Valley School Corporation,149,131,87.92%,131,87.92%
7945,Tipton Community School Corporation,134,126,94.03%,115,85.82%
8535,Tri-County School Corporation,52,48,92.31%,35,67.31%
4645,Tri-Creek School Corporation,306,293,95.75%,285,93.14%
5495,Triton School Corporation,83,76,91.57%,70,84.34%
8565,Twin Lakes School Corporation,200,173,86.50%,163,81.50%
6795,Union School Corporation,33,22,66.67%,12,36.36%
6530,Union Township School Corporation,162,154,95.06%,143,88.27%
7215,Union-North United School Corporation,95,80,84.21%,73,76.84%
6560,Valparaiso Community Schools,538,494,91.82%,478,88.85%
8030,Vigo County School Corporation,1009,840,83.25%,765,75.82%
4335,Vincennes Community School Corporation,151,142,94.04%,135,89.40%
2285,Wa-Nee Community Schools,217,200,92.17%,196,90.32%
8060,Wabash City Schools,104,97,93.27%,92,88.46%
8050,Wabash County Schools Metropolitan School District,265,196,73.96%,142,53.58%
8115,Warren County Metropolitan School District,106,105,99.06%,104,98.11%
5360,Warren Township Metropolitan School District,915,788,86.12%,678,74.10%
8130,Warrick County School Corporation,839,759,90.46%,687,81.88%
4415,Warsaw Community Schools,510,487,95.49%,439,86.08%
5370,Washington Township Metropolitan School District,923,830,89.92%,723,78.33%
4345,Wawasee Community School Corporation,233,212,90.99%,194,83.26%
5375,Wayne Township Metropolitan School District,1182,1052,89.00%,828,70.05%
1885,Wes-Del Community Schools,56,55,98.21%,46,82.14%
6630,West Central School Corporation,70,65,92.86%,60,85.71%
940,West Clark Community Schools,340,316,92.94%,287,84.41%
7875,West Lafayette Community School Corporation,197,192,97.46%,171,86.80%
6065,West Noble School Corporation,165,151,91.52%,138,83.64%
8220,West Washington School Corporation,55,50,90.91%,49,89.09%
3490,Western School Corporation,220,209,95.00%,201,91.36%
8355,Western Wayne Schools,85,64,75.29%,60,70.59%
3030,Westfield-Washington Schools,530,521,98.30%,504,95.09%
4525,Westview School Corporation,105,99,94.29%,94,89.52%
2980,White River Valley School District,69,65,94.20%,40,57.97%
4455,Whitko Community School Corporation,117,104,88.89%,89,76.07%
8665,Whitley County Consolidated Schools,246,213,86.59%,212,86.18%
630,Zionsville Community Schools,499,483,96.79%,466,93.39%
