State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,60,Adams Central Community Schools,9038,2490,645
IN,18,120,Alexandria Community School Corporation,8643,1480,392
IN,18,150,Anderson Community School Corporation,70341,10523,3152
IN,18,180,Argos Community Schools,3805,714,121
IN,18,210,Attica Consolidated School Corporation,4805,814,165
IN,18,270,Avon Community School Corporation,50371,10265,508
IN,18,330,Barr-Reeve Community School Corporation,5697,1454,240
IN,18,360,Bartholomew County School Corporation,75940,13040,1770
IN,18,390,Batesville Community School Corporation,11933,2284,204
IN,18,420,Baugo Community Schools,9788,2027,174
IN,18,450,Beech Grove City Schools,14550,2657,681
IN,18,480,Benton Community School Corporation,11001,2083,293
IN,18,570,Blackford County Schools,11976,1947,384
IN,18,600,Bloomfield School District,6728,1074,187
IN,18,660,Blue River Valley Schools,6605,717,102
IN,18,720,Bluffton-Harrison Metropolitan School District,8630,1530,222
IN,18,750,Boone Township Metropolitan School District,6310,1072,125
IN,18,900,Bremen Public Schools,8798,1820,170
IN,18,960,Brown County County School Corporation,15035,2165,319
IN,18,1020,Brownsburg Community School Corporation,45368,9267,394
IN,18,1050,Brownstown Central Community School Corporation,10737,1935,205
IN,18,1060,C. A. Beard Memorial School Corporation,7898,1328,190
IN,18,1170,Cannelton City Schools,1542,270,76
IN,18,1200,Carmel Clay Schools,98212,20666,506
IN,18,1290,Carroll Consolidated School Corporation,6531,1102,92
IN,18,1410,Caston School Corporation,4475,776,101
IN,18,1440,Center Grove Community School Corporation,44741,8841,453
IN,18,1560,Centerville-Abington Community Schools,8178,1583,277
IN,18,1710,Central Noble Community School Corporation,8740,1457,169
IN,18,2880,City of East Chicago School District,29072,5881,2486
IN,18,1890,Clark-Pleasant Community School Corporation,35567,6803,750
IN,18,1920,Clarksville Community School Corporation,9700,1452,308
IN,18,840,Clay Community Schools,25489,4277,692
IN,18,2130,Clinton Central School Corporation,5213,1046,133
IN,18,2160,Clinton Prairie School Corporation,5655,972,124
