Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,Non-Waiver Grad N,Non-Waiver Grad Rate
3435,Shenandoah School Corporation,107,91,85.05%,89,83.18%
3445,New Castle Community School Corp,238,228,95.80%,207,86.97%
3455,C A Beard Memorial School Corp,78,74,94.87%,71,91.03%
3460,Taylor Community School Corp,74,63,85.14%,56,75.68%
3470,Northwestern School Corp,127,125,98.43%,125,98.43%
3480,Eastern Howard School Corporation,96,93,96.88%,91,94.79%
3490,Western School Corporation,182,177,97.25%,171,93.96%
3500,Kokomo School Corporation,481,380,79.00%,315,65.49%
3625,Huntington Co Com Sch Corp,388,356,91.75%,338,87.11%
3640,Medora Community School Corp,16,15,93.75%,13,81.25%
3675,Seymour Community Schools,307,282,91.86%,252,82.08%
3695,Brownstown Cnt Com Sch Corp,128,118,92.19%,109,85.16%
3710,Crothersville Community Schools,30,29,96.67%,24,80.00%
3785,Kankakee Valley School Corp,276,256,92.75%,249,90.22%
3815,Rensselaer Central School Corp,122,114,93.44%,100,81.97%
3945,Jay School Corporation,246,236,95.93%,221,89.84%
3995,Madison Consolidated Schools,258,204,79.07%,169,65.50%
4000,Southwestern-Jefferson Co Con,83,74,89.16%,72,86.75%
4015,Jennings County School Corporation,306,277,90.52%,249,81.37%
4145,Clark-Pleasant Community Sch Corp,437,396,90.62%,367,83.98%
4205,Center Grove Community School Corp,587,567,96.59%,550,93.70%
4215,Edinburgh Community School Corp,70,66,94.29%,61,87.14%
4225,Franklin Community School Corp,371,350,94.34%,320,86.25%
4245,Greenwood Community Sch Corp,256,233,91.02%,227,88.67%
4255,Nineveh-Hensley-Jackson United,150,135,90.00%,118,78.67%
4315,North Knox School Corp,82,81,98.78%,73,89.02%
4325,South Knox School Corp,87,83,95.40%,82,94.25%
4335,Vincennes Community School Corp,153,148,96.73%,142,92.81%
4345,Wawasee Community School Corp,233,201,86.27%,181,77.68%
4415,Warsaw Community Schools,510,485,95.10%,445,87.25%
4445,Tippecanoe Valley School Corp,154,145,94.16%,131,85.06%
4455,Whitko Community School Corp,128,118,92.19%,113,88.28%
4515,Prairie Heights Community Sch Corp,89,84,94.38%,81,91.01%
4525,Westview School Corporation,92,87,94.57%,86,93.48%
4535,Lakeland School Corporation,141,127,90.07%,119,84.40%
4580,Hanover Community School Corp,160,153,95.63%,149,93.13%
4590,River Forest Community Sch Corp,106,90,84.91%,79,74.53%
4600,Merrillville Community School Corp,530,472,89.06%,437,82.45%
4615,Lake Central School Corporation,756,716,94.71%,684,90.48%
4645,Tri-Creek School Corporation,291,284,97.59%,273,93.81%
4650,Lake Ridge New Tech Schools,181,169,93.37%,124,68.51%
4660,Crown Point Community School Corp,667,654,98.05%,614,92.05%
4670,School City of East Chicago,332,198,59.64%,165,49.70%
4680,Lake Station Community Schools,86,75,87.21%,74,86.05%
4690,Gary Community School Corp,279,250,89.61%,229,82.08%
4700,Griffith Public Schools,189,180,95.24%,164,86.77%
4710,School City of Hammond,948,729,76.90%,643,67.83%
4720,School Town of Highland,261,245,93.87%,237,90.80%
4730,School City of Hobart,297,285,95.96%,253,85.19%
4740,School Town of Munster,368,341,92.66%,336,91.30%
4760,School City of Whiting,104,84,80.77%,84,80.77%
4805,New Prairie United School Corp,250,242,96.80%,237,94.80%
4860,M S D of New Durham Township,69,62,89.86%,48,69.57%
4915,Tri-Township Cons School Corp,21,19,90.48%,18,85.71%
4925,Michigan City Area Schools,370,334,90.27%,295,79.73%
4940,South Central Com School Corp,86,81,94.19%,76,88.37%
4945,LaPorte Community School Corp,508,420,82.68%,363,71.46%
5075,North Lawrence Com Schools,326,280,85.89%,268,82.21%
5085,Mitchell Community Schools,120,96,80.00%,91,75.83%
5245,Frankton-Lapel Community Schools,226,215,95.13%,198,87.61%
5255,South Madison Com Sch Corp,330,306,92.73%,287,86.97%
5265,Alexandria Community School Corp,124,117,94.35%,110,88.71%
5275,Anderson Community School Corp,387,371,95.87%,288,74.42%
5280,Elwood Community School Corp,98,89,90.82%,75,76.53%
5300,M S D Decatur Township,427,364,85.25%,323,75.64%
5310,Franklin Township Com Sch Corp,576,557,96.70%,523,90.80%
5330,M S D Lawrence Township,1123,1036,92.25%,830,73.91%
5340,Perry Township Schools,1028,979,95.23%,816,79.38%
5350,M S D Pike Township,726,682,93.94%,596,82.09%
5360,M S D Warren Township,839,750,89.39%,669,79.74%
5370,M S D Washington Township,880,772,87.73%,676,76.82%
5375,M S D Wayne Township,1093,951,87.01%,776,71.00%
5380,Beech Grove City Schools,192,182,94.79%,168,87.50%
5385,Indianapolis Public Schools,1086,897,82.60%,762,70.17%
5400,School Town of Speedway,105,99,94.29%,93,88.57%
5455,Culver Community Schools Corp,71,66,92.96%,58,81.69%
5470,Argos Community Schools,47,43,91.49%,41,87.23%
5480,Bremen Public Schools,123,112,91.06%,111,90.24%
5485,Plymouth Community School Corp,289,256,88.58%,226,78.20%
5495,Triton School Corporation,62,54,87.10%,53,85.48%
5520,Shoals Community School Corp,46,43,93.48%,42,91.30%
5525,Loogootee Community Sch Corp,60,59,98.33%,51,85.00%
5615,Maconaquah School Corp,153,146,95.42%,133,86.93%
5620,North Miami Community Schools,77,71,92.21%,63,81.82%
5625,Oak Hill United School Corp,98,94,95.92%,90,91.84%
5635,Peru Community Schools,126,121,96.03%,115,91.27%
5705,Richland-Bean Blossom C S C,203,180,88.67%,172,84.73%
5740,Monroe County Community Sch Corp,815,744,91.28%,691,84.79%
