Corp ID,Corporate Name,Corp Grade 2016
15,Adams Central Community Schools,B
5265,Alexandria Community School Corporation,C
5275,Anderson Community School Corporation,C
5470,Argos Community Schools,C
2435,Attica Consolidated School Corporation,C
3315,Avon Community School Corporation,B
1315,Barr-Reeve Community School Corporation,A
365,Bartholomew Consolidated School Corporation,B
6895,Batesville Community School Corporation,B
2260,Baugo Community Schools,B
5380,Beech Grove City Schools,C
395,Benton Community School Corporation,B
515,Blackford County Schools,B
2920,Bloomfield School District,B
3405,Blue River Valley Schools,B
8445,Bluffton-Harrison Metropolitan School District,C
6460,Boone Township Metropolitan School District,B
5480,Bremen Public Schools,B
670,Brown County School Corporation,B
3305,Brownsburg Community School Corporation,A
3695,Brownstown Central Community School Corporation,B
3455,C. A. Beard Memorial School Corporation,C
6340,Cannelton City Schools,B
3060,Carmel Clay Schools,A
750,Carroll Consolidated School Corporation,B
2650,Caston School Corporation,B
4205,Center Grove Community School Corporation,B
8360,Centerville-Abington Community Schools,B
6055,Central Noble Community School Corporation,C
4145,Clark-Pleasant Community School Corporation,B
1000,Clarksville Community School Corporation,B
1125,Clay Community Schools,B
1150,Clinton Central School Corporation,B
1160,Clinton Prairie School Corporation,C
6750,Cloverdale Community Schools,B
2270,Concord Community Schools,C
2440,Covington Community School Corporation,B
1900,Cowan Community School Corporation,B
1300,Crawford County Community School Corporation,B
5855,Crawfordsville Community Schools,B
3710,Crothersville Community Schools,B
4660,Crown Point Community School Corporation,B
5455,Culver Community Schools Corporation,C
1940,Daleville Community Schools,B
3325,Danville Community School Corporation,A
1655,Decatur County Community Schools,B
5300,Decatur Township Metropolitan School District,C
1835,DeKalb County Central United School District,B
1805,DeKalb County Eastern Community School District,B
1875,Delaware Community School Corporation,B
755,Delphi Community School Corporation,B
6470,Duneland School Corporation,B
255,East Allen County Schools,B
2725,East Gibson School Corporation,B
6060,East Noble School Corporation,B
6510,East Porter County School Corporation,B
8215,East Washington School Corporation,B
2815,Eastbrook Community School Corporation,B
2940,Eastern Greene County School District,B
3145,Eastern Hancock County Community School Corporation,B
3480,Eastern Howard School Corporation,C
6620,Eastern Pulaski Community School Corporation,B
4215,Edinburgh Community School Corporation,B
2305,Elkhart Community Schools,C
5280,Elwood Community School Corporation,C
5910,Eminence Community School Corporation,C
7995,Evansville Vanderburgh School Corporation,C
2155,Fairfield Community Schools,B
2395,Fayette County School Corporation,B
370,Flat Rock-Hawcreek School Corporation,B
235,Fort Wayne Community Schools,C
1170,Frankfort Community Schools,C
4225,Franklin Community School Corporation,B
2475,Franklin County Community School Corporation,B
5310,Franklin Township Community School Corporation,B
5245,Frankton-Lapel Community Schools,C
7605,Fremont Community Schools,B
8525,Frontier School Corporation,B
1820,Garrett-Keyser-Butler Community School Corporation,B
4690,Gary Community School Corporation,F
2315,Goshen Community Schools,B
1010,Greater Clark County Schools,B
2120,Greater Jasper Consolidated Schools,A
6755,Greencastle Community School Corporation,C
3125,Greenfield-Central Community Schools,B
1730,Greensburg Community Schools,B
4245,Greenwood Community School Corporation,A
4700,Griffith Public Schools,B
7610,Hamilton Community Schools,C
3025,Hamilton Heights School Corporation,B
3005,Hamilton Southeastern Schools,A
4580,Hanover Community School Corporation,B
3625,Huntington County Community School Corporation,B
