Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
7525,Knox Community School Corporation,128,121,94.53%,115,89.84%
3500,Kokomo School Corporation,481,380,79.00%,315,65.49%
7855,Lafayette School Corporation,448,391,87.28%,358,79.91%
4615,Lake Central School Corporation,756,716,94.71%,684,90.48%
4650,Lake Ridge New Tech Schools,181,169,93.37%,124,68.51%
4680,Lake Station Community Schools,86,75,87.21%,74,86.05%
4535,Lakeland School Corporation,141,127,90.07%,119,84.40%
3160,Lanesville Community School Corporation,67,66,98.51%,59,88.06%
4945,LaPorte Community School Corporation,508,420,82.68%,363,71.46%
5330,Lawrence Township Metropolitan School District,1123,1036,92.25%,830,73.91%
1620,Lawrenceburg Community School Corporation,150,140,93.33%,128,85.33%
665,Lebanon Community School Corporation,211,191,90.52%,186,88.15%
1895,Liberty-Perry Community School Corporation,97,95,97.94%,88,90.72%
2950,Linton-Stockton School Corporation,82,74,90.24%,73,89.02%
875,Logansport Community School Corporation,269,242,89.96%,219,81.41%
5525,Loogootee Community School Corporation,60,59,98.33%,51,85.00%
5615,Maconaquah School Corporation,153,146,95.42%,133,86.93%
3995,Madison Consolidated Schools,258,204,79.07%,169,65.50%
2825,Madison-Grant United School Corporation,87,85,97.70%,74,85.06%
8045,Manchester Community Schools,108,103,95.37%,97,89.81%
2865,Marion Community Schools,261,251,96.17%,204,78.16%
5925,Martinsville Schools Metropolitan School District,341,313,91.79%,287,84.16%
3640,Medora Community School Corporation,16,15,93.75%,13,81.25%
4925,Michigan City Area Schools,370,334,90.27%,295,79.73%
2275,Middlebury Community Schools,327,302,92.35%,285,87.16%
6910,Milan Community Schools,93,85,91.40%,78,83.87%
3335,Mill Creek Community School Corporation,107,106,99.07%,106,99.07%
2855,Mississinewa Community School Corporation,184,174,94.57%,138,75.00%
5085,Mitchell Community Schools,120,96,80.00%,91,75.83%
6820,Monroe Central School Corporation,82,77,93.90%,76,92.68%
5740,Monroe County Community School Corporation,815,744,91.28%,691,84.79%
5900,Monroe-Gregg School District,137,119,86.86%,110,80.29%
5930,Mooresville Consolidated School Corporation,328,310,94.51%,283,86.28%
6590,Mount Vernon Metropolitan School District,163,146,89.57%,124,76.07%
1970,Muncie Community Schools,366,287,78.42%,255,69.67%
8305,Nettle Creek School Corporation,84,82,97.62%,76,90.48%
3445,New Castle Community School Corporation,238,228,95.80%,207,86.97%
4805,New Prairie United School Corporation,250,242,96.80%,237,94.80%
3070,Noblesville Schools,619,599,96.77%,567,91.60%
25,North Adams Community Schools,184,167,90.76%,156,84.78%
6375,North Central Parke Community School Corporation,93,79,84.95%,72,77.42%
1375,North Daviess Community Schools,74,65,87.84%,59,79.73%
2735,North Gibson School Corporation,131,123,93.89%,107,81.68%
3180,North Harrison Community School Corporation,154,153,99.35%,143,92.86%
7515,North Judson-San Pierre School Corporation,89,83,93.26%,68,76.40%
4315,North Knox School Corporation,82,81,98.78%,73,89.02%
5075,North Lawrence Community Schools,326,280,85.89%,268,82.21%
5620,North Miami Community Schools,77,71,92.21%,63,81.82%
5835,North Montgomery Community School Corporation,156,153,98.08%,141,90.38%
5945,North Newton School Corporation,106,97,91.51%,91,85.85%
6600,North Posey County Schools Metropolitan School District,136,131,96.32%,126,92.65%
6715,North Putnam Community Schools,119,110,92.44%,106,89.08%
7385,North Spencer County School Corporation,127,123,96.85%,117,92.13%
8010,North Vermillion Community School Corporation,65,61,93.85%,38,58.46%
3295,North West Hendricks Schools,138,137,99.28%,136,98.55%
8515,North White School Corporation,48,43,89.58%,39,81.25%
2040,Northeast Dubois County School Corporation,55,47,85.45%,46,83.64%
7645,Northeast School Corporation,67,55,82.09%,50,74.63%
8375,Northeastern Wayne Schools,112,109,97.32%,105,93.75%
8435,Northern Wells Community Schools,167,161,96.41%,145,86.83%
225,Northwest Allen County Schools,500,494,98.80%,485,97.00%
7350,Northwestern Consolidated School Corporation,92,88,95.65%,87,94.57%
3470,Northwestern School Corporation,127,125,98.43%,125,98.43%
5625,Oak Hill United School Corporation,98,94,95.92%,90,91.84%
7495,Oregon-Davis School Corporation,41,35,85.37%,34,82.93%
