Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
3435,Shenandoah School Corporation,86,82,95.3%,81,94.2%
3445,New Castle Community School Corp,256,244,95.3%,204,79.7%
3455,C A Beard Memorial School Corp,104,100,96.2%,95,91.3%
3460,Taylor Community School Corp,102,84,82.4%,76,74.5%
3470,Northwestern School Corp,107,104,97.2%,104,97.2%
3480,Eastern Howard School Corporation,88,87,98.9%,86,97.7%
3490,Western School Corp,191,184,96.3%,175,91.6%
3500,Kokomo School Corporation,449,370,82.4%,316,70.4%
3625,Huntington Co Com Sch Corp,342,312,91.2%,292,85.4%
3640,Medora Community School Corp,28,26,92.9%,24,85.7%
3675,Seymour Community Schools,294,276,93.9%,246,83.7%
3695,Brownstown Cnt Com Sch Corp,141,137,97.2%,132,93.6%
3710,Crothersville Community Schools,30,27,90.0%,24,80.0%
3785,Kankakee Valley School Corp,242,229,94.6%,222,91.7%
3815,Rensselaer Central School Corp,116,111,95.7%,100,86.2%
3945,Jay School Corporation,299,281,94.0%,245,81.9%
3995,Madison Consolidated Schools,228,205,89.9%,181,79.4%
4000,Southwestern-Jefferson Co Con,81,76,93.8%,68,84.0%
4015,Jennings County School Corporation,312,294,94.2%,259,83.0%
4145,Clark-Pleasant Community Sch Corp,433,406,93.8%,381,88.0%
4205,Center Grove Community School Corp,559,529,94.6%,514,91.9%
4215,Edinburgh Community School Corp,68,65,95.6%,62,91.2%
4225,Franklin Community School Corp,365,345,94.5%,320,87.7%
4245,Greenwood Community Sch Corp,257,234,91.1%,227,88.3%
4255,Nineveh-Hensley-Jackson United,124,118,95.2%,107,86.3%
4315,North Knox School Corp,78,78,100.0%,73,93.6%
4325,South Knox School Corp,77,75,97.4%,74,96.1%
4335,Vincennes Community School Corp,168,163,97.0%,150,89.3%
4345,Wawasee Community School Corp,224,197,87.9%,185,82.6%
4415,Warsaw Community Schools,503,466,92.6%,431,85.7%
4445,Tippecanoe Valley School Corp,148,141,95.3%,127,85.8%
4455,Whitko Community School Corp,119,110,92.4%,103,86.6%
4515,Prairie Heights Community Sch Corp,116,110,94.8%,108,93.1%
4525,Westview School Corporation,100,96,96.0%,95,95.0%
4535,Lakeland School Corporation,154,131,85.1%,122,79.2%
4580,Hanover Community School Corp,156,149,95.5%,146,93.6%
4590,River Forest Community Sch Corp,105,79,75.2%,74,70.5%
4600,Merrillville Community School Corp,522,457,87.5%,423,81.0%
4615,Lake Central School Corporation,758,724,95.5%,697,92.0%
4645,Tri-Creek School Corporation,264,259,98.1%,243,92.0%
4650,Lake Ridge New Tech Schools,141,136,96.5%,100,70.9%
4660,Crown Point Community School Corp,723,695,96.1%,648,89.6%
4670,School City of East Chicago,221,162,73.3%,149,67.4%
4680,Lake Station Community Schools,84,77,91.7%,67,79.8%
4690,Gary Community School Corp,333,286,85.9%,252,75.7%
4700,Griffith Public Schools,188,180,95.7%,152,80.9%
4710,School City of Hammond,840,691,82.3%,610,72.6%
4720,School Town of Highland,266,247,92.9%,240,90.2%
4730,School City of Hobart,354,333,94.1%,294,83.1%
4740,School Town of Munster,344,334,97.1%,329,95.6%
4760,School City of Whiting,98,90,91.8%,90,91.8%
4805,New Prairie United School Corp,201,190,94.5%,176,87.6%
4860,M S D of New Durham Township,88,82,93.2%,70,79.5%
4915,Tri-Township Cons School Corp,29,29,100.0%,25,86.2%
4925,Michigan City Area Schools,352,311,88.4%,258,73.3%
4940,South Central Com School Corp,68,67,98.5%,67,98.5%
4945,LaPorte Community School Corp,444,393,88.5%,348,78.4%
5075,North Lawrence Com Schools,375,322,85.9%,310,82.7%
5085,Mitchell Community Schools,132,109,82.6%,102,77.3%
5245,Frankton-Lapel Community Schools,227,218,96.0%,200,88.1%
5255,South Madison Com Sch Corp,317,294,92.7%,281,88.6%
5265,Alexandria Community School Corp,117,112,95.7%,108,92.3%
5275,Anderson Community School Corp,387,367,94.8%,298,77.0%
5280,Elwood Community School Corp,89,81,91.0%,71,79.8%
5300,M S D Decatur Township,458,373,81.4%,341,74.5%
5310,Franklin Township Com Sch Corp,616,597,96.9%,565,91.7%
5330,M S D Lawrence Township,1157,1069,92.4%,871,75.3%
5340,Perry Township Schools,980,911,93.0%,755,77.0%
5350,M S D Pike Township,701,653,93.2%,577,82.3%
5360,M S D Warren Township,834,732,87.8%,641,76.9%
5370,M S D Washington Township,792,701,88.5%,619,78.2%
