State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,60,Adams Central Community Schools,9076,2521,625
IN,18,120,Alexandria Community School Corporation,8648,1465,318
IN,18,150,Anderson Community School Corporation,70432,10424,2854
IN,18,180,Argos Community Schools,3784,711,135
IN,18,210,Attica Consolidated School Corporation,4760,801,143
IN,18,270,Avon Community School Corporation,51391,10303,599
IN,18,330,Barr-Reeve Community School Corporation,5707,1461,207
IN,18,360,Bartholomew County School Corporation,76607,13162,1475
IN,18,390,Batesville Community School Corporation,11972,2243,216
IN,18,420,Baugo Community Schools,9812,2020,180
IN,18,450,Beech Grove City Schools,14647,2675,636
IN,18,480,Benton Community School Corporation,11066,2086,295
IN,18,570,Blackford County Schools,11930,1938,394
IN,18,600,Bloomfield School District,6689,1069,183
IN,18,660,Blue River Valley Schools,6577,712,98
IN,18,720,Bluffton-Harrison Metropolitan School District,8698,1539,214
IN,18,750,Boone Township Metropolitan School District,6358,1065,113
IN,18,900,Bremen Public Schools,8750,1812,140
IN,18,960,Brown County County School Corporation,15234,2153,304
IN,18,1020,Brownsburg Community School Corporation,46284,9304,461
IN,18,1050,Brownstown Central Community School Corporation,10790,1930,231
IN,18,1060,C. A. Beard Memorial School Corporation,7877,1318,173
IN,18,1170,Cannelton City Schools,1544,270,89
IN,18,1200,Carmel Clay Schools,100132,20756,598
IN,18,1290,Carroll Consolidated School Corporation,6558,1097,90
IN,18,1410,Caston School Corporation,4476,765,89
IN,18,1440,Center Grove Community School Corporation,45443,8935,441
IN,18,1560,Centerville-Abington Community Schools,8156,1583,266
IN,18,1710,Central Noble Community School Corporation,8750,1432,138
IN,18,2880,City of East Chicago School District,28998,5812,2725
IN,18,1890,Clark-Pleasant Community School Corporation,36078,6861,690
IN,18,1920,Clarksville Community School Corporation,9701,1451,280
IN,18,840,Clay Community Schools,25467,4287,889
IN,18,2130,Clinton Central School Corporation,5205,1040,118
IN,18,2160,Clinton Prairie School Corporation,5641,962,97
IN,18,2220,Cloverdale Community Schools,7388,1152,202
IN,18,2400,Concord Community Schools,26707,5101,676
IN,18,2430,Covington Community School Corporation,5255,839,92
IN,18,7020,Cowan Community School Corporation,3637,616,64
IN,18,2440,Crawford County Community School Corporation,10940,1774,393
IN,18,2460,Crawfordsville Community Schools,15657,2399,459
IN,18,12060,Crothersville Community Schools,3555,578,81
IN,18,2490,Crown Point Community School Corporation,40900,7182,573
IN,18,2520,Culver Community Schools Corporation,6848,1121,186
IN,18,9840,Daleville Community Schools,3932,628,88
IN,18,2550,Danville Community School Corporation,15576,2989,165
IN,18,1590,DeKalb County Central United School District,24698,4238,393
IN,18,3060,DeKalb County Eastern Community School District,8020,1535,191
IN,18,2610,Decatur County Community Schools,12477,2326,257
IN,18,2640,Decatur Township Metropolitan School District,34211,7260,1293
IN,18,2660,Delaware Community School Corporation,14637,2460,367
IN,18,2700,Delphi Community School Corporation,9631,1622,182
IN,18,2800,Duneland School Corporation,35733,6284,577
IN,18,2850,East Allen County Schools,70150,14464,2548
IN,18,2940,East Gibson School Corporation,6823,1066,123
IN,18,2970,East Noble School Corporation,23160,3928,452
IN,18,9000,East Porter County School Corporation,13325,2289,147
IN,18,3000,East Washington School Corporation,9606,1727,320
IN,18,3030,Eastbrook Community School Corporation,10094,1559,267
IN,18,3090,Eastern Greene County School District,7796,1436,200
IN,18,3120,Eastern Hancock County Community School Corporation,6292,1132,78
IN,18,3150,Eastern Howard School Corporation,6453,1208,87
IN,18,7110,Eastern Pulaski Community School Corporation,6976,1135,176
IN,18,3240,Edinburgh Community School Corporation,5510,897,178
IN,18,3270,Elkhart Community Schools,78705,14802,2880
IN,18,3300,Elwood Community School Corporation,9929,1631,380
IN,18,3330,Eminence Community School Corporation,2981,505,44
IN,18,3450,Evansville-Vanderburgh School Corporation,180974,28126,5309
IN,18,3480,Fairfield Community Schools,12353,3021,215
IN,18,3510,Fayette County School Corporation,23047,3794,695
IN,18,3570,Flat Rock-Hawcreek School Corporation,5897,1066,93
IN,18,3630,Fort Wayne Community Schools,226858,39304,9156
IN,18,3660,Frankfort Community Schools,17688,3381,580
IN,18,3690,Franklin Community School Corporation,33395,5815,716
IN,18,3700,Franklin County Community School Corporation,17144,2860,322
IN,18,3750,Franklin Township Community School Corporation,55952,11540,933
IN,18,12880,Frankton-Lapel Community Schools,12068,2175,228
IN,18,3780,Fremont Community Schools,7134,1009,117
IN,18,3810,Frontier School Corporation,4013,747,60
IN,18,3840,Garrett-Keyser-Butler Community Schools,9596,1784,242
IN,18,3870,Gary Community School Corporation,73469,13781,6758
IN,18,3930,Goshen Community Schools,37971,7033,978
IN,18,3940,Greater Clark County Schools,78951,12648,1803
IN,18,3960,Greater Jasper Consolidated Schools,19853,3443,311
IN,18,3990,Greencastle Community School Corporation,14094,1937,277
IN,18,4050,Greenfield-Central Community Schools,29944,4930,350
IN,18,4080,Greensburg Community Schools,14652,2501,411
IN,18,4110,Greenwood Community School Corporation,27384,4516,516
IN,18,4170,Griffith Public Schools,16424,2704,452
IN,18,4230,Hamilton Community Schools,4399,658,104
IN,18,4260,Hamilton Heights School Corporation,15461,2742,175
IN,18,10650,Hamilton Southeastern Schools,108325,23167,789
IN,18,4320,Hammond School City,79276,14501,4390
IN,18,4350,Hanover Community School Corporation,12140,2117,140
IN,18,4560,Highland School Town,23181,3375,373
IN,18,4590,Hobart School City,23426,3739,692
IN,18,4710,Huntington County Community School Corporation,36240,5746,712
IN,18,4770,Indianapolis Public Schools,313024,50828,16724
IN,18,4800,Jac-Cen-Del Community School Corporation,5040,849,170
IN,18,4980,Jay School Corporation,20764,3807,692
IN,18,5190,Jennings County Schools,27611,4717,860
IN,18,9120,John Glenn School Corporation,9964,1874,157
IN,18,5280,Kankakee Valley School Corporation,20096,3647,355
IN,18,5340,Knox Community School Corporation,10872,1884,401
IN,18,5370,Kokomo-Center Township Consolidated School Corporation,45017,6958,1623
IN,18,5580,La Porte Community School Corporation,38146,6301,1084
IN,18,5400,Lafayette School Corporation,62939,9900,2039
IN,18,5450,Lake Central School Corporation,65146,10731,724
IN,18,5460,Lake Ridge Schools,11901,1998,785
IN,18,2910,Lake Station Community Schools,8381,1410,382
IN,18,5520,Lakeland School Corporation,15529,3094,390
IN,18,3720,Lanesville Community School Corporation,4207,726,41
IN,18,5670,Lawrence Township Metropolitan School District,101158,19184,2911
IN,18,5700,Lawrenceburg Community School Corporation,10944,1724,269
IN,18,5790,Lebanon Community School Corporation,25549,4167,334
IN,18,5880,Liberty-Perry Community School Corporation,6039,997,124
IN,18,5910,Linton-Stockton School Corporation,8151,1306,233
IN,18,6030,Logansport Community School Corporation,23365,3919,686
IN,18,6060,Loogootee Community School Corporation,5748,974,126
IN,18,6090,Maconaquah School Corporation,14798,2135,384
IN,18,6120,Madison Consolidated Schools,22847,3400,697
IN,18,6240,Madison-Grant United School Corporation,8265,1411,228
IN,18,6270,Manchester Community Schools,9911,1362,216
IN,18,6390,Marion Community Schools,34677,4839,1568
IN,18,6510,Martinsville Schools Metropolitan School District,31074,5103,832
IN,18,1230,Medora Community School Corporation,1572,299,78
IN,18,9690,Merrillville Community School,46260,7385,1568
IN,18,6570,Michigan City Area Schools,47839,7022,2199
IN,18,6600,Middlebury Community Schools,22794,5359,434
IN,18,6630,Milan Community Schools,6155,1141,133
IN,18,6660,Mill Creek Community School Corporation,10710,1960,219
IN,18,6840,Mishawaka School City,30848,5347,878
IN,18,6870,Mississinewa Community School Corporation,10238,1805,380
IN,18,6900,Mitchell Community Schools,11899,1952,260
IN,18,7080,Monroe Central School Corporation,5374,899,116
IN,18,630,Monroe County Community School Corporation,128542,13284,1688
IN,18,4140,Monroe-Gregg School District,8032,1379,129
IN,18,7140,Mooresville Consolidated School Corporation,24531,4291,599
IN,18,7230,Mount Pleasant Township Community School Corporation,13755,2297,279
IN,18,7260,Mount Vernon Community School Corporation,21169,3879,192
IN,18,7290,Mount Vernon Metropolitan School District,15675,2636,322
IN,18,7320,Muncie Community Schools,67499,7612,2469
IN,18,7350,Munster School Town,23022,4051,260
IN,18,7380,Nettle Creek School Corporation,6807,1292,205
IN,18,7410,New Albany-Floyd County Consolidated Schools,77781,12963,1801
IN,18,7440,New Castle Community School Corporation,22773,3546,619
IN,18,7470,New Durham Township Metropolitan School District,8550,886,117
IN,18,7560,New Prairie United School Corporation,15258,2729,406
IN,18,7620,Nineveh-Hensley-Jackson United School Corporation,11310,1993,215
IN,18,7650,Noblesville Schools,60792,11457,586
IN,18,7680,North Adams Community Schools,15643,2722,308
IN,18,118,North Central Parke Community School Corporation,11059,1613,368
IN,18,7710,North Daviess Community Schools,9303,2254,253
IN,18,7770,North Gibson School Corporation,14331,2411,309
IN,18,690,North Harrison Community School Corporation,14094,2451,286
IN,18,7800,North Judson-San Pierre School Corporation,7322,1275,228
IN,18,7830,North Knox School Corporation,8488,1389,248
IN,18,7860,North Lawrence Community Schools,33769,5450,895
IN,18,7890,North Miami Community Schools,5874,1040,114
IN,18,7900,North Montgomery Community School Corporation,12090,2188,211
IN,18,7920,North Newton School Corporation,9081,1429,158
IN,18,7950,North Posey County Schools Metropolitan School District,9865,1600,106
IN,18,7980,North Putnam Community Schools,10173,1722,186
IN,18,8010,North Spencer County School Corporation,11685,1906,164
IN,18,8070,North Vermillion Community School Corporation,4283,681,144
IN,18,8100,North West Hendricks Schools,11053,2230,91
IN,18,8130,North White School Corporation,5954,965,173
IN,18,8120,Northeast Dubois County School Corporation,5500,977,72
IN,18,8160,Northeast School Corporation,8364,1315,249
IN,18,8190,Northeastern Wayne Schools,5583,1065,232
IN,18,8220,Northern Wells Community Schools,15488,2823,277
IN,18,8250,Northwest Allen County Schools,37042,7910,378
IN,18,8310,Northwestern Consolidated School Corporation,7713,1428,203
IN,18,2040,Northwestern School Corporation,8659,1570,167
IN,18,8340,Oak Hill United School Corporation,7381,1284,181
IN,18,8460,Oregon-Davis School Corporation,4329,707,103
IN,18,8490,Orleans Community Schools,4683,835,161
IN,18,8640,Paoli Community School Corporation,9150,1532,363
IN,18,8760,Penn-Harris-Madison School Corporation,62038,11955,769
IN,18,1740,Perry Central Community School Corporation,7268,1105,108
IN,18,8820,Perry Township Metropolitan School District,99211,16651,2599
IN,18,8850,Peru Community Schools,13010,2126,465
IN,18,8900,Pike County School Corporation,12410,2008,240
IN,18,8910,Pike Township Metropolitan School District,77727,13818,2404
IN,18,8940,Pioneer Regional School Corporation,5065,869,103
IN,18,8970,Plainfield Community School Corporation,31995,5200,384
IN,18,9060,Plymouth Community School Corporation,19243,3456,515
IN,18,9150,Portage Township Schools,48602,8414,1374
IN,18,9180,Porter Township School Corporation,9610,1551,114
IN,18,9300,Prairie Heights Community School Corporation,9966,1583,155
IN,18,1770,Randolph Central School Corporation,9388,1529,284
IN,18,3180,Randolph Eastern School Corporation,4965,869,202
IN,18,10740,Randolph Southern School Corporation,3089,540,106
IN,18,9420,Rensselaer Central School Corporation,10683,1748,214
IN,18,9480,Richland-Bean Blossom Community School Corporation,18375,3214,343
IN,18,9510,Richmond Community School Corporation,40233,5927,1373
IN,18,9600,Rising Sun-Ohio County Community Schools,5844,844,90
IN,18,4620,River Forest Community School Corporation,7274,1261,433
IN,18,9630,Rochester Community School Corporation,11275,1835,391
IN,18,9720,Rossville Consolidated School District,4978,1033,79
IN,18,9750,Rush County Schools,14597,2481,366
IN,18,9810,Salem Community Schools,12682,1987,403
IN,18,9990,Scott County School District 1,6572,1177,280
IN,18,10020,Scott County School District 2,17306,2817,476
