Corp ID,Corporation Name,Corp Grade 2017
5835,North Montgomery Com Sch Corp,B
5845,South Montgomery Com Sch Corp,B
5855,Crawfordsville Community Schools,B
5900,Monroe-Gregg School District,B
5910,Eminence Community School Corp,C
5925,M S D Martinsville Schools,B
5930,Mooresville Con School Corp,B
5945,North Newton School Corp,C
5995,South Newton School Corp,C
6055,Central Noble Com School Corp,C
6060,East Noble School Corporation,B
6065,West Noble School Corporation,B
6080,Rising Sun-Ohio Co Com,B
6145,Orleans Community Schools,B
6155,Paoli Community School Corp,C
6160,Springs Valley Com School Corp,B
6195,Spencer-Owen Community Schools,C
6260,Southwest Parke Com Sch Corp,C
6325,Perry Central Com Schools Corp,A
6340,Cannelton City Schools,F
6350,Tell City-Troy Twp School Corp,A
6375,North Central Parke Comm Schl Corp,B
6445,Pike County School Corp,C
6460,M S D Boone Township,B
6470,Duneland School Corporation,A
6510,East Porter County School Corp,A
6520,Porter Township School Corp,B
6530,Union Township School Corp,A
6550,Portage Township Schools,B
6560,Valparaiso Community Schools,A
6590,M S D Mount Vernon,A
6600,M S D North Posey Co Schools,A
6620,Eastern Pulaski Community Sch Corp,B
6630,West Central School Corp,C
6705,South Putnam Community Schools,B
6715,North Putnam Community Schools,B
6750,Cloverdale Community Schools,B
6755,Greencastle Community School Corp,B
6795,Union School Corporation,D
6805,Randolph Southern School Corp,C
6820,Monroe Central School Corp,B
6825,Randolph Central School Corp,B
6835,Randolph Eastern School Corp,C
6865,South Ripley Com Sch Corp,B
6895,Batesville Community School Corp,A
6900,Jac-Cen-Del Community Sch Corp,B
6910,Milan Community Schools,B
6995,Rush County Schools,B
7150,John Glenn School Corporation,B
7175,Penn-Harris-Madison School Corp,A
7200,School City of Mishawaka,C
7205,South Bend Community School Corp,C
7215,Union-North United School Corp,B
7230,Scott County School District 1,C
7255,Scott County School District 2,B
7285,Shelby Eastern Schools,B
7350,Northwestern Con School Corp,B
7360,Southwestern Con Sch Shelby Co,A
7365,Shelbyville Central Schools,B
7385,North Spencer County Sch Corp,A
7445,South Spencer County Sch Corp,B
7495,Oregon-Davis School Corp,C
7515,North Judson-San Pierre Sch Corp,B
7525,Knox Community School Corp,B
7605,Fremont Community Schools,B
7610,Hamilton Community Schools,C
7615,M S D Steuben County,B
7645,Northeast School Corp,B
7715,Southwest School Corporation,B
7775,Switzerland County School Corp,C
7855,Lafayette School Corporation,C
7865,Tippecanoe School Corp,B
7875,West Lafayette Com School Corp,A
7935,Tri-Central Community Schools,B
7945,Tipton Community School Corp,B
7950,Union Co/Clg Corner Joint Sch Dist,B
7995,Evansville Vanderburgh School Corp,C
8010,North Vermillion Com Sch Corp,C
8020,South Vermillion Com Sch Corp,B
8030,Vigo County School Corp,B
8045,Manchester Community Schools,B
8050,M S D Wabash County Schools,B
8060,Wabash City Schools,C
8115,M S D Warren County,B
8130,Warrick County School Corp,A
8205,Salem Community Schools,B
8215,East Washington School Corp,B
8220,West Washington School Corp,C
8305,Nettle Creek School Corporation,B
8355,Western Wayne Schools,C
8360,Centerville-Abington Com Schs,B
8375,Northeastern Wayne Schools,B
8385,Richmond Community Schools,C
8425,Southern Wells Com Schools,B
8435,Northern Wells Community Schools,B
8445,M S D Bluffton-Harrison,B
8515,North White School Corp,B
8525,Frontier School Corporation,A
8535,Tri-County School Corporation,B
8565,Twin Lakes School Corp,B
8625,Smith-Green Community Schools,B
8665,Whitley County Con Schools,B
